OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,642,14,15,35,62,87,93,125,122,68,20,1,0 to 101,56,0,380,258,4,636,6,0,14,41,123,506,642,93,549,0,0,636,60,30,3,0,0,50,40,2,2,11,17,12,14,13,8,7,7,0,0 to 95,48,42,32,10,6,10,70,10,17,2,12,0,0,4,93,43,50,90,3,0,1468,2,1564,1470,93,4,133,95,NA,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1401,71,67,145,167,183,193,203,197,113,56,6,0 to 99,49,0,891,505,5,1375,26,0,48,53,407,854,1400,382,1018,0,1,1374,230,146,6,0,0,238,138,25,23,49,53,59,61,57,28,9,18,0,0 to 98,42,77,259,20,20,21,304,51,71,0,17,0,1,4,382,140,242,376,6,0,2720,20,3130,2740,382,4,521,421,NA,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2282,7,10,175,697,565,409,278,96,30,7,8,0 to 105,38,0,204,2071,7,2282,0,0,4,1,275,2145,2282,277,2005,0,0,2282,272,4,0,0,0,25,251,3,4,29,65,58,65,43,7,1,1,0,0 to 85,40,161,102,5,8,8,181,87,10,0,5,0,0,1,276,251,25,276,0,0,2349,0,2627,2349,276,1,151,126,NA,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2126,28,43,191,558,428,334,252,174,72,42,4,0 to 118,40,0,528,1576,22,2120,6,0,46,9,183,1682,2125,439,1686,0,1,2119,426,10,2,1,0,135,301,17,26,61,108,77,70,56,17,6,1,0,0 to 86,35,167,229,35,5,68,219,149,62,1,16,0,0,2,439,303,136,436,3,0,2858,3,3301,2861,439,2,44,42,NA,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,4445,53,60,436,652,640,727,771,531,323,196,56,0 to 119,49,3,2474,1917,51,4384,61,0,263,28,425,3417,4443,1431,3012,0,2,4382,1269,119,40,2,3,751,633,19,28,255,304,246,232,178,105,47,15,1,0 to 96,38,789,163,66,370,166,793,429,157,7,54,2,3,8,1430,659,767,1388,42,0,11590,22,13068,11612,1430,8,146,138,NA,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3806,100,118,276,483,494,506,726,587,301,206,9,0 to 119,53,0,2088,1632,86,3788,18,0,307,63,366,3177,3803,624,3179,0,3,3785,575,44,5,0,0,253,366,20,28,63,119,105,92,97,60,28,12,0,0 to 118,42,263,177,61,118,65,418,136,15,0,60,0,0,4,624,370,254,619,5,0,7084,13,7728,7097,624,4,38,36,NA,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,1057,34,22,126,159,152,170,171,113,76,32,2,0 to 99,47,1,571,432,53,997,60,0,69,16,127,838,1048,180,868,0,9,988,121,59,0,0,1,80,96,2,6,29,28,29,27,28,13,15,3,0,1 to 97,43,119,34,6,21,3,145,32,29,0,20,0,0,4,180,96,80,180,0,0,2959,58,3197,3017,180,4,211,210,NA,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,992,16,16,83,150,139,163,169,161,69,25,1,0 to 119,51,0,475,502,15,978,14,0,14,5,214,751,992,234,758,0,0,978,202,27,3,2,0,45,184,2,0,27,66,54,40,20,15,6,4,0,1 to 93,38,133,71,9,16,16,176,37,9,0,7,0,0,1,234,185,49,229,5,0,2589,9,2838,2598,234,1,175,169,NA,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,9085,200,296,794,1041,1133,1197,1501,1470,1016,413,24,0 to 100,53,1,4501,4156,427,8987,98,0,644,82,1784,6553,9046,2901,6144,1,39,8948,2867,15,18,0,1,1342,1525,97,177,461,524,513,462,293,183,121,66,3,0 to 99,38,1053,147,865,817,1504,757,621,435,3,241,2,1,42,2900,1535,1350,2882,18,0,17663,77,20671,17740,2900,42,1301,1290,NA,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,70253,1664,2233,7728,11934,10394,10672,10786,8073,4322,1988,459,0 to 119,45,133,39399,30376,345,69801,452,0,1440,458,5110,64631,70103,20509,49572,22,150,69629,20016,384,105,3,126,10703,9495,416,837,3778,4797,3245,2907,2126,1097,619,339,347,0 to 104,35,6129,2459,2249,9563,4138,5440,10822,1433,12,828,9,3,189,20508,9545,10761,20400,108,0,151279,341,172330,151620,20508,189,4977,4630,NA,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,19556,346,581,1621,2211,2270,2596,3397,3498,2130,802,104,0 to 119,55,38,10957,8292,269,19266,290,0,1182,177,1368,16865,19554,5420,14130,4,2,19260,5300,65,54,0,36,2792,2533,106,311,874,990,896,791,653,399,251,147,1,0 to 101,39,2175,429,421,2340,1239,1555,2571,272,5,363,3,2,140,5419,2555,2822,5365,54,0,51847,234,57534,52081,5419,140,456,358,NA,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,9490,169,257,832,1180,1348,1563,1620,1389,790,320,22,0 to 101,51,8,5420,3949,113,9467,23,0,370,130,817,8349,9480,1602,7877,1,10,9456,1506,91,5,0,4,866,724,14,48,227,277,253,273,220,157,84,48,1,0 to 100,44,715,283,123,476,141,929,527,237,0,136,0,0,39,1602,727,868,1597,5,0,21648,18,23280,21666,1602,39,965,932,NA,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1490,51,129,222,279,193,186,179,148,75,28,0,0 to 94,38,0,811,655,24,1482,8,0,72,2,747,746,1490,613,877,0,0,1482,427,180,5,1,0,316,287,22,63,108,131,92,75,50,46,20,6,0,0 to 87,32,455,69,58,25,420,164,23,94,3,52,3,1,4,613,291,318,607,6,0,2725,2,3341,2727,613,4,1090,989,NA,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,17140,205,303,1280,2094,2058,2470,2828,3059,2012,802,29,0 to 168,55,24,10343,6733,40,17112,28,0,4510,177,1730,12733,17008,1776,15232,0,132,16981,1728,40,5,1,17,898,847,24,52,278,349,305,269,228,157,84,27,1,0 to 97,40,1136,250,125,257,304,1187,277,269,3,174,0,0,15,1774,848,903,1768,6,0,29950,20,31761,29970,1774,15,1253,1088,NA,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,23705,222,425,1659,2712,2661,3413,4680,4240,2307,1100,286,0 to 119,56,14,13247,9828,616,23593,112,0,769,230,1635,21063,23686,4164,19522,0,19,23574,3798,335,26,4,11,2182,1933,50,137,676,799,579,607,566,396,208,136,9,0 to 102,42,1759,545,770,1059,572,2187,1374,541,7,322,5,0,78,4163,1947,2198,4133,30,0,47954,81,52252,48035,4163,78,1822,1200,NA,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,877,21,29,76,98,144,111,144,136,76,41,1,0 to 118,52,1,524,338,14,877,0,0,14,6,137,742,877,125,752,0,0,877,104,21,0,0,1,69,54,0,5,19,15,20,14,15,20,13,4,0,6 to 91,48,88,15,1,21,0,100,25,23,0,14,0,0,4,125,54,69,125,0,0,1596,0,1722,1596,125,4,207,152,NA,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,17644,268,325,1231,1863,1838,2271,2806,3014,2101,693,1234,0 to 103,56,31,9291,7346,976,17499,145,0,242,222,933,16630,17597,2783,14814,0,47,17454,2735,25,23,0,27,1403,1321,43,84,473,545,414,442,374,219,139,46,4,0 to 103,40,840,306,362,1252,356,981,1423,251,12,152,5,1,27,2783,1333,1413,2760,23,0,42210,120,45141,42330,2783,27,1058,766,NA,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,1922,32,34,200,248,213,262,365,286,198,82,2,0 to 118,54,1,1103,801,17,1918,4,0,58,16,364,1438,1922,282,1640,0,0,1918,252,27,0,3,1,109,168,3,4,58,53,41,37,39,28,12,6,1,2 to 99,41,120,22,99,38,110,132,37,31,0,20,0,0,2,282,170,110,279,3,0,3836,1,4126,3837,282,2,441,391,NA,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,4307,37,37,127,209,222,341,585,1535,984,145,85,0 to 119,69,2,2141,1987,177,4230,77,0,215,164,411,3681,4282,681,3601,0,25,4205,621,55,4,1,2,282,385,1,12,41,43,73,89,102,188,110,22,0,4 to 92,63,401,84,21,170,34,459,183,141,1,85,0,0,18,681,387,285,676,5,0,11859,72,12623,11931,681,18,312,300,NA,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,20595,283,493,2208,2946,2808,3138,3226,2690,1315,626,862,0 to 119,48,19,11597,8840,139,20548,47,0,511,246,1188,19111,20567,4538,16028,1,28,20520,4459,61,16,0,10,2435,2061,58,116,1016,1003,651,635,461,273,178,145,0,0 to 104,36,1728,418,434,1940,524,1225,2771,380,5,213,1,0,25,4536,2067,2445,4520,16,0,44489,30,49099,44519,4536,25,1479,1236,NA,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,79023,1369,1872,8450,13318,12046,12227,11731,8071,3843,1471,4625,0 to 120,45,176,42649,35881,317,77747,1275,1,1457,585,3173,74232,78743,19378,59364,1,280,77468,18940,121,311,5,159,9339,9549,283,479,4094,5092,3315,2722,1880,884,445,169,14,0 to 106,34,4264,2498,2835,9464,2480,3839,12742,1132,50,578,39,5,85,19377,9718,9478,19060,316,1,167004,950,187559,167954,19377,85,2263,2035,NA,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,4640,60,92,292,470,437,566,856,987,664,208,8,0 to 222,59,0,2589,1880,171,4632,8,0,154,119,763,3976,4635,620,4014,1,5,4627,416,201,1,0,0,308,307,6,16,81,87,78,90,127,74,40,19,0,0 to 97,49,466,38,42,71,44,481,92,55,0,67,0,0,16,618,307,309,617,1,0,12353,6,12986,12359,618,16,1532,1077,NA,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,4738,86,87,439,649,575,697,814,647,464,276,4,0 to 102,52,0,2799,1923,16,4713,25,0,303,66,688,3680,4736,947,3789,0,2,4711,761,174,10,1,0,468,467,13,26,157,179,125,146,130,95,53,22,0,0 to 100,41,654,68,72,141,135,549,251,185,2,93,2,1,10,946,471,475,935,11,0,12509,14,13474,12523,946,10,1183,1132,NA,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,46770,485,782,3787,6485,5583,6716,8490,7382,4519,2452,89,0 to 120,54,26,26678,19959,107,46414,356,0,3331,411,4253,36889,46727,11755,34971,1,43,46370,11488,181,78,7,22,6222,5390,150,384,1852,2577,1604,1627,1518,923,660,451,8,0 to 104,40,5078,2023,634,3934,881,6195,4593,1275,20,971,18,2,262,11754,5439,6258,11669,85,0,114730,268,126834,114998,11754,262,966,874,NA,3.3752723369031523,0.0695827304540653
