OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11011,307,445,1306,1625,1629,1736,1694,1290,677,289,13,0 to 119,46,5618,5349,44,10921,90,0,572,7294,99,3067,194,3939,7053,0,19,10902,3820,88,31,0,1649,2244,15,3908,57,120,724,718,645,652,532,266,147,75,3,0 to 105,39,2272,502,212,922,154,2714,1040,145,0,190,1,0,37,3939,2255,1669,3908,31,0,24626,59,28661,24685,3939,37,3472,2929,2596863920.94926,364280.718031263,edf59bbc-47af-4b2f-bd97-6dab59dd7b4c,39
51,51,66,131,WALTON,Walton,FL,3076,68,105,429,411,444,458,491,331,195,140,4,0 to 101,46,1602,1436,38,2906,170,0,195,2349,15,1370,156,1408,1666,0,2,2904,1262,27,116,3,619,669,1,1289,17,61,317,225,231,201,200,86,54,15,1,0 to 101,39,1000,79,57,153,262,886,141,179,17,64,3,0,15,1408,725,682,1289,119,0,8279,54,9778,8333,1408,15,744,689,2708101782.46999,370154.781284707,31ca379b-fb64-4c77-9456-056bcf505a65,39
52,52,32,063,JACKSON,Jackson,FL,4716,57,110,432,841,825,821,700,436,294,194,6,0 to 105,46,1941,2704,71,4686,30,0,47,2869,19,1715,44,1821,2889,1,5,4680,1751,55,14,1,544,1252,10,1806,17,49,175,376,360,338,253,127,69,57,0,0 to 100,43,785,356,87,578,72,765,969,150,2,101,0,0,38,1821,1260,550,1806,15,0,9695,18,11548,9713,1821,38,1163,964,2452499072.79567,223828.324060307,baf89079-8026-4e6b-b424-2dd9bc8af99d,43
53,53,67,133,WASHINGTON,Washington,FL,1820,37,55,163,293,281,298,323,182,130,58,0,0 to 119,47,884,891,45,1807,13,0,47,1236,9,886,15,867,937,0,16,1791,771,86,9,1,289,545,23,857,11,25,89,190,159,147,124,65,46,11,0,0 to 99,42,441,193,24,199,17,471,369,49,2,42,1,0,14,867,549,295,857,10,0,5307,4,6199,5311,867,14,533,477,1594396648.51196,243766.072259733,ed919630-6db9-4e1b-b6b4-eafa4d161468,42
54,54,45,089,NASSAU,Nassau,FL,4636,68,109,499,517,569,668,846,725,439,192,4,0 to 103,53,2564,1984,88,4467,169,0,233,3420,28,805,134,1233,3372,0,31,4437,1131,31,69,2,592,570,0,1162,17,34,250,168,186,194,190,118,52,24,0,0 to 95,43,770,120,57,215,61,852,249,159,6,73,1,0,11,1233,599,634,1162,71,0,13625,97,14972,13722,1233,11,1250,1244,1641620662.32831,388721.737801268,4d22d524-13f7-4497-919b-bc6894006209,43
55,55,22,043,GLADES,Glades,FL,581,9,23,62,120,142,84,67,37,30,6,1,0 to 90,39,212,368,1,581,0,0,59,341,3,392,1,401,180,0,0,581,399,2,0,0,110,291,0,401,6,10,43,96,117,65,47,10,5,2,0,0 to 89,38,289,77,22,13,169,211,21,43,0,29,0,0,3,401,291,110,401,0,0,725,0,1128,725,401,3,225,166,2551976411.00452,236757.936928168,db14356a-7e77-445a-a524-193dac2519e8,38
56,56,8,015,CHARLOTTE,Charlotte,FL,7203,81,88,464,665,726,1025,1364,1306,879,598,7,0 to 119,58,4095,3034,74,7180,23,0,666,5516,62,1675,44,2238,4954,1,10,7169,2006,225,6,1,1146,1063,22,2231,23,44,244,256,237,325,405,321,221,161,1,0 to 101,54,1643,129,136,323,175,1646,410,226,1,237,1,0,91,2238,1065,1150,2231,7,0,23865,16,26153,23881,2238,91,274,255,1825525431.11919,398247.923422686,2c59a1cc-d054-4df6-bef0-43eec4a23784,54
57,57,58,115,SARASOTA,Sarasota,FL,18847,220,408,1604,2159,2050,2472,3177,3292,2282,1117,66,0 to 119,56,10387,8193,267,18576,271,0,821,16672,190,2682,117,6231,12594,1,21,18556,6097,82,45,7,3217,2813,149,6179,70,223,982,1072,907,887,793,592,410,270,25,0 to 104,43,2435,365,517,2862,571,2143,3465,396,18,365,12,2,139,6231,2843,3239,6179,52,0,67367,224,73868,67591,6231,139,1063,958,1509311882.53409,264158.506465067,63cf7f11-0e2e-4c45-8079-812f07405f88,43
58,58,14,027,DESOTO,Desoto,FL,3573,97,223,373,540,552,601,596,336,176,75,4,0 to 102,44,1474,1982,117,3560,13,0,175,2264,48,1330,23,1351,2216,1,5,3554,1215,133,3,0,555,790,3,1348,41,121,184,264,255,205,161,81,27,12,0,0 to 97,36,843,135,78,292,655,364,329,199,1,100,1,0,16,1351,791,557,1348,3,0,8172,13,9543,8185,1351,16,1368,1234,1654926851.96404,168390.780925558,0d73423d-03c5-4ba5-9bfd-c106f87eb222,36
59,59,18,035,FLAGLER,Flagler,FL,4976,76,102,358,521,594,720,922,896,544,236,7,0 to 119,56,2887,2036,53,4936,40,0,344,3856,37,860,63,1070,3900,0,6,4930,934,126,10,0,585,469,6,1060,17,47,151,151,131,174,168,137,71,22,1,0 to 94,47,599,170,190,101,152,782,126,148,4,87,2,1,13,1070,475,589,1060,10,0,13969,30,15088,13999,1070,13,1206,1171,1294754947.55994,220559.838719988,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc,47
