OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
14,14,24,047,HAMILTON,Hamilton,FL,2022,19,30,162,542,416,325,245,168,69,42,4,0 to 118,41,460,1535,27,2016,6,0,37,1878,9,336,6,334,1687,0,1,2015,323,8,2,1,68,263,0,331,8,13,32,92,66,60,49,11,3,0,0,0 to 84,38,144,154,31,2,55,130,146,38,1,10,0,0,2,334,265,69,331,3,0,2340,3,2678,2343,334,2,20,18,39,38,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,3494,39,37,255,459,481,578,652,457,293,188,55,0 to 119,52,1955,1485,54,3445,49,0,141,3145,28,407,64,384,3038,0,72,3383,322,44,17,1,197,169,0,366,5,4,56,86,67,76,46,25,16,3,0,1 to 93,40,268,42,23,33,95,225,46,91,6,35,2,2,4,384,177,207,366,18,0,7531,21,7944,7552,384,4,98,90,44,40,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3492,90,107,244,430,437,455,674,555,289,202,9,0 to 119,54,1970,1424,98,3477,15,0,222,3063,63,374,16,287,3202,0,3,3474,246,39,2,0,143,142,0,285,9,16,31,65,44,43,40,24,9,6,0,0 to 97,39,131,111,35,8,38,235,12,9,0,26,0,0,3,287,144,143,285,2,0,5553,13,5858,5566,287,3,31,29,40,39,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,925,30,17,103,136,129,150,152,107,67,32,2,0 to 99,48,512,359,54,865,60,0,27,849,16,89,5,63,861,0,1,864,36,27,0,0,32,28,3,63,0,2,11,7,10,6,10,8,6,3,0,10 to 97,46,44,13,2,4,1,56,6,15,0,13,0,0,4,63,28,32,63,0,0,1652,60,1775,1712,63,4,91,90,48,46,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,928,14,13,74,139,130,152,161,159,64,21,1,0 to 119,51,444,469,15,917,11,0,6,768,5,172,6,177,751,0,0,917,157,18,0,2,21,154,0,175,1,0,18,54,46,31,13,12,2,0,0,1 to 79,38,97,61,6,11,13,130,32,7,0,5,0,0,0,177,155,22,175,2,0,2274,9,2464,2283,177,0,76,70,43,38,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,8149,172,216,654,876,977,1062,1408,1398,968,394,24,0 to 100,55,4022,3684,443,8053,96,0,449,6622,82,1517,79,2055,6061,1,32,8021,2026,13,16,0,939,1094,6,2039,78,120,330,373,374,335,209,112,75,47,2,0 to 99,37,704,84,659,592,1114,454,471,304,2,173,1,1,25,2055,1103,946,2039,16,0,14651,78,16807,14729,2055,25,438,427,38,37,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,60370,1386,1722,6042,9821,8777,9185,9697,7596,4067,1876,201,0 to 119,47,34295,25783,292,59938,432,0,959,56502,458,3282,320,10752,49478,23,117,59799,10427,238,84,3,5624,5006,35,10665,220,374,2126,2688,1641,1399,1031,606,357,223,87,0 to 104,34,3204,1519,1359,4583,2141,3264,5260,984,11,617,8,3,138,10752,5046,5671,10665,87,0,113430,344,124611,113774,10752,138,2795,2448,37,34,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,17041,296,419,1150,1739,1848,2215,3092,3348,2063,768,103,0 to 119,57,9641,7114,286,16787,254,0,932,15110,177,1950,49,2856,14179,4,2,16781,2775,63,18,0,1476,1357,5,2838,61,153,403,507,466,399,344,236,176,111,0,0 to 101,40,1518,280,269,771,877,1093,868,190,4,264,3,2,130,2856,1366,1485,2838,18,0,36783,236,39893,37019,2856,130,372,274,45,40,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,8529,122,215,674,1004,1189,1405,1502,1322,763,311,22,0 to 101,52,4917,3510,102,8508,21,0,173,7903,130,637,59,713,7809,1,6,8501,638,72,3,0,395,315,0,710,2,15,82,105,98,122,103,90,57,38,1,0 to 100,50,356,138,66,150,67,473,170,155,0,103,0,0,34,713,316,397,710,3,0,16444,18,17186,16462,713,34,469,436,55,50,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1226,36,91,169,230,161,152,158,134,69,26,0,0 to 94,40,679,532,15,1219,7,0,70,651,2,498,8,430,796,0,0,1219,345,80,4,1,219,206,0,425,13,41,67,96,69,53,37,35,14,5,0,0 to 86,34,308,58,42,17,298,112,15,66,3,38,3,1,3,430,209,221,425,5,0,2040,2,2474,2042,430,3,714,615,35,34,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,15450,170,231,1026,1786,1767,2217,2638,2884,1920,784,27,0 to 168,56,9454,5946,50,15422,28,0,4355,10370,177,3503,152,672,14426,0,352,15071,640,26,5,1,366,299,1,666,12,18,106,137,103,96,95,57,37,11,0,0 to 97,40,433,110,43,80,119,461,86,112,3,68,0,0,10,672,301,370,666,6,0,22976,21,23674,22997,672,10,775,610,45,40,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,21545,185,323,1311,2299,2360,3086,4387,4052,2199,1051,292,0 to 119,57,12049,8826,670,21446,99,0,433,20080,230,1383,145,2105,19426,0,14,21432,1885,203,16,1,1074,1010,4,2088,18,45,352,388,284,299,298,226,104,87,4,0 to 102,43,952,321,391,424,251,1223,614,332,6,213,5,0,57,2105,1019,1082,2088,17,0,37919,82,40136,38001,2105,57,1319,705,49,43,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,815,21,27,66,91,133,107,138,122,69,40,1,0 to 118,52,483,315,17,815,0,0,11,699,6,81,1,68,747,0,0,815,52,16,0,0,34,34,0,68,0,3,13,5,11,11,11,5,6,3,0,6 to 91,48,52,14,0,2,0,65,3,14,0,10,0,0,4,68,34,34,68,0,0,1320,0,1388,1320,68,4,129,74,48,48,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,16107,238,267,971,1555,1611,2007,2601,2888,2047,673,1249,0 to 103,58,8452,6622,1033,15968,139,0,200,15190,222,726,103,1302,14771,0,34,15936,1267,18,17,0,632,646,7,1285,20,33,222,242,191,192,179,112,86,23,2,0 to 103,41,514,162,223,386,197,649,439,184,12,108,5,1,22,1302,656,639,1285,17,0,31811,120,33253,31931,1302,22,802,510,44,41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,1785,27,31,179,233,198,236,343,269,189,79,1,0 to 118,54,1034,735,16,1781,4,0,27,1472,16,344,8,174,1611,0,0,1781,146,25,0,3,60,111,0,171,1,3,38,41,29,17,22,13,6,4,0,3 to 99,35,71,9,86,5,93,72,6,17,0,12,0,0,1,174,113,61,171,3,0,3052,1,3229,3053,174,1,309,259,35,35,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,3927,28,29,100,182,191,301,526,1441,911,132,86,0 to 119,69,1936,1800,191,3851,76,0,137,3517,164,324,61,345,3559,0,23,3828,292,50,2,1,114,226,2,342,1,4,17,16,41,47,48,107,55,9,0,4 to 92,64,257,43,10,32,24,282,36,73,0,48,0,0,17,345,228,115,342,3,0,7216,73,7640,7289,345,17,112,100,65,64,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,18534,240,420,1854,2546,2495,2825,2974,2564,1210,537,869,0 to 119,49,10481,7926,127,18490,44,0,334,17437,246,884,101,2566,15949,1,18,18472,2494,59,13,0,1356,1195,2,2553,33,49,678,604,360,339,215,153,75,60,0,0 to 100,32,1201,227,219,906,381,835,1337,272,5,164,1,0,16,2566,1201,1363,2553,13,0,33984,30,36610,34014,2566,16,936,693,33,32,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,69720,1196,1582,6698,10999,10376,10832,10766,7614,3609,1372,4676,0 to 120,46,37929,31427,364,68558,1161,1,896,66729,585,2530,421,10314,59337,0,69,68491,10000,112,197,5,4783,5274,55,10112,145,230,2403,2829,1694,1377,929,419,210,73,5,0 to 103,32,2549,1317,1772,4474,1560,2218,6334,875,47,446,37,5,58,10314,5389,4863,10111,202,1,124253,958,135677,125211,10314,58,1557,1330,35,32,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,4173,39,76,224,396,374,502,771,938,646,199,8,0 to 222,61,2320,1661,192,4166,7,0,86,3621,119,361,28,291,3879,1,2,4164,178,113,0,0,142,148,1,291,3,5,36,33,26,47,66,41,22,12,0,0 to 97,54,229,13,15,34,27,225,39,38,0,38,0,0,13,291,148,142,291,0,0,9572,6,9873,9578,291,13,1128,673,57,54,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,4099,70,68,337,539,488,600,724,587,423,259,4,0 to 102,54,2463,1615,21,4078,21,0,100,3642,66,319,48,373,3726,0,0,4078,263,103,6,1,182,184,0,366,6,10,62,74,53,58,53,36,15,6,0,0 to 92,40,235,31,19,81,49,178,139,71,2,35,2,1,5,373,186,187,366,7,0,9742,14,10130,9756,373,5,579,528,46,40,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,41529,418,611,3032,5400,4808,5943,7703,6980,4231,2309,94,0 to 120,55,23949,17467,113,41184,345,0,2499,36534,411,5668,394,6487,34965,1,76,41107,6262,152,66,7,3528,2868,18,6414,87,219,1098,1475,834,852,730,521,367,293,11,0 to 104,38,2715,1282,295,2122,438,3461,2515,780,19,654,17,2,166,6487,2913,3556,6414,73,0,86213,272,93000,86485,6487,166,675,583,41,38,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2421,70,74,215,323,295,289,378,316,239,212,10,0 to 118,53,1521,828,72,2406,15,0,64,1974,110,653,20,499,1922,0,0,2406,371,113,12,3,295,189,0,484,16,33,72,74,78,68,56,43,35,24,0,0 to 102,42,256,70,89,69,184,229,71,62,1,57,0,0,20,499,195,304,484,15,0,3659,0,4162,3659,499,20,66,62,47,42,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,52409,830,1132,5156,8925,7726,7936,9035,6570,3319,1656,124,-6 to 119,48,28709,22962,738,51773,636,0,898,48842,454,2830,221,6207,46117,10,75,51688,5741,358,97,11,3057,3026,16,6099,74,166,1148,1711,1078,785,646,367,148,81,3,0 to 101,34,1847,1589,605,2058,632,3187,2280,547,22,350,11,3,64,6207,3085,3104,6099,108,0,96599,528,103460,97127,6207,64,2560,2443,39,34,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,365,6,1,44,46,40,37,40,50,56,44,1,0 to 119,57,231,127,7,365,0,0,12,327,0,23,1,32,333,0,0,365,25,7,0,0,16,16,0,32,1,1,4,8,2,5,4,4,1,2,0,3 to 98,41,23,6,2,1,7,25,0,7,0,3,0,0,0,32,16,16,32,0,0,512,0,545,512,32,0,20,20,46,41,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,628,11,15,39,57,65,106,128,122,65,20,0,0 to 94,56,368,257,3,571,57,0,19,583,1,66,13,23,605,0,0,571,17,3,3,0,11,9,0,20,0,1,3,2,2,6,5,3,0,1,0,9 to 89,49,13,4,2,1,2,17,1,7,1,2,1,0,0,23,11,12,20,3,0,1444,54,1521,1498,23,0,54,51,48,49,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1194,11,20,62,80,112,139,405,278,73,14,0,0 to 118,59,329,859,6,1194,0,0,20,1131,4,96,4,62,1131,0,1,1193,52,10,0,0,14,48,0,62,0,3,8,8,3,4,22,12,2,0,0,9 to 80,56,38,21,2,1,3,57,2,10,0,10,0,0,2,62,48,14,62,0,0,2229,0,2291,2229,62,2,107,105,61,56,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1506,21,28,126,194,175,225,291,190,146,103,7,0 to 118,54,941,540,25,1504,2,0,33,1398,34,178,2,83,1422,0,1,1503,38,45,0,0,61,22,0,83,1,4,11,8,13,10,6,7,12,11,0,1 to 107,50,62,17,3,1,6,74,3,13,0,13,0,0,2,83,22,61,83,0,0,2534,2,2621,2536,83,2,233,201,62,50,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1285,14,30,98,142,172,217,245,218,109,39,1,0 to 102,53,727,548,10,1281,4,0,15,1199,13,205,6,60,1224,0,1,1280,41,17,2,0,34,24,0,58,1,0,12,10,8,13,6,6,3,1,0,3 to 86,42,35,17,3,3,5,50,3,11,0,8,0,0,1,60,24,36,58,2,0,2135,2,2199,2137,60,1,133,58,46,42,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,20642,271,383,1354,2129,2281,2877,4522,3998,2117,562,148,0 to 119,57,11656,8877,109,20620,22,0,343,19577,107,1318,99,1793,18846,0,3,20617,1711,66,14,2,899,871,7,1777,26,51,372,374,288,250,221,121,55,35,0,0 to 99,37,1024,122,109,522,324,917,536,223,3,110,3,0,17,1793,878,908,1777,16,0,42063,6,43866,42069,1793,17,968,910,42,37,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,21049,488,581,1774,2831,2834,3023,3301,3101,1962,814,340,0 to 119,51,12042,8824,183,20952,97,0,520,18704,231,1978,149,3836,17196,1,16,20935,3429,389,17,1,2053,1760,5,3818,60,128,583,730,677,549,447,305,223,133,1,0 to 103,40,1832,540,379,1067,958,1620,1240,699,10,466,5,1,98,3836,1767,2064,3818,18,0,42515,79,46452,42594,3836,98,1683,1113,46,40,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,14605,194,394,1156,2168,2107,2403,2417,1819,907,328,712,0 to 155,48,8103,6425,77,14520,85,0,717,12695,390,1406,219,2026,12524,2,53,14466,1931,38,55,2,983,981,5,1969,34,56,313,498,310,344,228,132,85,23,3,0 to 102,38,768,143,720,338,998,473,498,375,8,197,7,2,24,2026,1020,1000,1969,57,0,23747,27,25846,23774,2026,24,1317,805,44,38,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,3940,64,63,201,415,360,467,626,731,634,359,20,0 to 119,61,2388,1514,38,3874,66,0,73,3596,47,308,30,350,3583,0,7,3867,300,47,3,0,186,161,0,347,11,12,39,49,47,60,62,35,30,5,0,0 to 91,48,209,61,51,26,116,193,38,71,2,64,1,0,11,350,164,186,347,3,0,8362,63,8784,8425,350,11,420,305,51,48,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,29077,355,479,2320,3569,3665,4108,4804,4937,3287,1492,61,0 to 119,55,16630,12231,216,28085,991,1,756,25424,613,3241,183,5588,23469,1,19,28066,5260,209,113,6,2862,2578,29,5469,86,149,841,1009,888,851,678,471,336,274,5,0 to 101,42,2915,702,147,1705,1655,2037,1777,1003,15,593,13,4,158,5588,2645,2912,5468,119,1,50087,872,56564,50959,5588,158,2761,1154,46,42,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,17538,385,670,1736,2061,2198,2268,2566,2780,2124,710,40,0 to 105,52,9387,8059,92,17174,364,0,538,14097,356,3161,170,4225,13206,3,104,17067,3824,316,69,16,2026,2107,7,4140,121,226,775,697,719,578,493,297,214,103,2,0 to 101,38,2159,193,346,1442,1996,883,1261,506,20,323,11,6,74,4225,2159,2059,4140,85,0,29258,279,33777,29537,4225,74,3753,2766,40,38,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,173406,1901,2890,13960,28020,27771,31484,29360,19765,11155,6420,680,0 to 225,48,90276,81987,1143,171896,1509,1,4297,155525,2785,18561,1016,36820,136326,101,159,171638,35376,903,532,9,17989,18261,29,36279,373,745,3937,6717,6095,6594,5378,3400,2011,1497,73,0 to 108,45,16953,4881,1499,12946,17184,6254,12841,6744,49,3962,31,15,991,36820,18539,18236,36278,541,1,277044,967,315151,278011,36820,991,5368,4628,47,45,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,3879,30,69,249,483,523,658,841,618,298,108,2,0 to 101,54,2026,1843,10,3794,85,0,1300,2083,83,862,131,259,3577,0,43,3755,221,23,11,4,107,137,0,244,3,13,23,37,38,43,34,35,21,12,0,2 to 100,48,176,9,4,55,71,110,63,43,3,21,2,0,4,259,146,113,244,15,0,5236,65,5560,5301,259,4,734,456,54,48,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7315,237,275,686,971,1014,1088,1192,1053,550,239,10,0 to 119,49,4027,3261,27,7247,68,0,130,6746,99,405,86,593,6718,1,3,7243,546,40,7,0,267,319,0,586,11,11,172,103,79,87,65,37,18,10,0,0 to 98,34,451,52,18,65,26,467,93,38,0,29,1,0,9,593,321,272,586,7,0,12058,61,12714,12119,593,9,1166,620,41,34,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,1748,53,45,127,187,227,257,302,254,160,133,3,0 to 101,53,966,745,37,1675,73,0,38,1558,15,248,54,245,1501,0,2,1673,189,23,30,3,114,98,0,212,6,12,36,30,42,32,41,24,15,7,0,0 to 101,43,187,12,5,8,60,141,11,37,7,26,2,0,9,245,111,134,212,33,0,3142,40,3432,3182,245,9,165,110,46,43,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,3115,32,42,265,532,527,541,482,314,233,141,6,0 to 105,47,1411,1612,92,3092,23,0,18,2627,19,357,31,363,2743,1,8,3083,316,38,8,1,93,261,0,354,3,10,36,86,81,68,54,18,6,1,0,0 to 87,40,157,140,20,37,29,212,113,45,2,28,0,0,2,363,265,98,354,9,0,4830,14,5216,4844,363,2,523,321,40,40,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,932,12,16,60,99,116,147,198,130,99,55,0,0 to 119,55,549,361,22,926,6,0,33,749,9,154,14,113,816,0,3,923,90,21,2,0,58,53,0,111,0,2,6,14,12,13,24,19,16,7,0,9 to 99,58,79,23,1,8,1,101,9,12,0,21,0,0,12,113,53,60,111,2,0,1729,4,1847,1733,113,12,158,100,59,58,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,3376,46,55,261,348,396,460,639,611,384,172,4,0 to 103,56,1824,1360,192,3267,109,0,68,3156,28,138,39,182,3184,0,10,3257,152,22,6,2,85,89,0,174,2,3,39,31,37,19,18,21,8,4,0,1 to 89,40,114,23,4,33,4,136,34,36,1,18,0,0,1,182,92,90,174,8,0,6755,101,7041,6856,182,1,249,243,43,40,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,338,4,13,46,73,73,37,32,30,23,6,1,1 to 90,39,147,189,2,338,0,0,31,217,3,154,0,175,163,0,0,338,173,2,0,0,51,124,0,175,1,3,29,53,50,20,12,5,1,1,0,3 to 89,35,128,18,5,24,103,47,25,19,0,14,0,0,1,175,124,51,175,0,0,474,0,649,474,175,1,150,91,37,35,2.276843366242558,0.23195700955234813
