OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,2270,76,203,231,267,296,325,396,282,151,41,2,0 to 101,47,1114,1150,6,2246,24,0,80,1058,41,1453,41,1315,951,2,2,2243,1120,173,18,4,577,712,4,1293,20,85,129,184,175,216,247,148,85,26,0,0 to 99,48,605,557,78,53,46,1137,110,107,3,62,0,0,22,1315,724,586,1293,22,0,5284,0,6617,5284,1315,22,1175,1138,{862C7BAB-C64B-458C-A6FA-56543968D206},7,54,61,0.114754098360656,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,3413,169,423,441,417,427,473,428,351,190,84,10,0 to 101,40,1944,1456,13,3370,43,0,205,1270,53,2360,123,1851,1550,1,11,3358,1291,534,24,2,1030,789,6,1825,63,150,235,261,241,304,254,187,98,56,2,0 to 101,44,765,906,86,68,94,1560,171,248,3,81,2,2,37,1851,797,1045,1825,26,0,6649,0,8511,6649,1851,37,2657,2561,{89851E42-542B-499A-AC7E-D8F5369F3D0B},8,49,57,0.140350877192982,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,3246,68,207,355,772,668,515,401,164,70,17,9,0 to 105,38,774,2465,7,3245,1,0,101,1929,1,706,14,998,2246,0,2,3243,850,147,1,0,383,608,6,997,22,67,158,168,150,164,155,65,41,8,0,0 to 89,40,735,169,52,41,40,807,150,54,0,22,0,0,14,998,608,384,997,1,0,3916,0,4915,3916,998,14,1272,1248,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},2,6,8,0.25,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,3443,102,254,365,702,599,521,411,290,131,63,5,0 to 118,39,1181,2240,22,3423,20,0,94,2012,9,1684,48,1511,1930,0,2,3422,1179,316,7,9,638,848,9,1495,54,134,192,250,228,231,206,129,63,23,1,0 to 93,41,734,625,88,48,154,1161,180,191,2,73,0,0,18,1511,857,645,1495,16,0,6092,0,7608,6092,1511,18,1027,1025,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},3,32,35,0.0857142857142857,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,21243,245,1062,2737,3382,3280,3381,3355,2173,1107,463,58,0 to 119,44,11186,9845,212,20551,692,0,2166,10246,28,12757,469,17112,4065,2,64,20489,16132,321,649,10,8610,7669,174,16453,151,746,2352,2920,2736,2722,2627,1686,853,317,2,0 to 101,43,10132,1515,1679,3127,1028,11761,3664,1228,47,683,25,13,296,17112,8016,8913,16453,659,0,58683,0,75870,58683,17112,296,4302,4294,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},254,1249,1503,0.168995342648037,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,11114,303,740,1353,1553,1647,1585,1720,1251,635,315,12,0 to 119,44,5373,5679,62,11067,47,0,1320,3563,63,7011,98,7297,3805,0,12,11055,6645,618,30,4,3194,4048,21,7263,128,365,927,1155,1175,1149,1091,751,396,156,4,0 to 102,43,4687,1847,315,414,409,6187,667,303,2,423,4,0,143,7297,4068,3208,7263,34,0,21440,0,28796,21440,7297,143,4162,4161,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},21,221,242,0.0867768595041322,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,4836,125,342,728,813,780,745,629,395,200,77,2,0 to 103,39,2329,2487,20,4773,63,0,640,1724,16,2397,98,3080,1713,1,42,4730,2574,491,10,5,1327,1732,6,3065,25,116,400,576,563,513,434,272,129,52,0,0 to 103,42,1922,368,117,658,37,2080,948,285,0,165,0,0,51,3080,1740,1334,3065,15,0,10208,0,13319,10208,3080,51,3981,3980,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},9,183,192,0.046875,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,3342,56,297,450,457,443,538,451,373,195,82,0,0 to 119,44,1804,1517,21,3303,39,0,193,1168,5,1701,237,2098,1240,0,4,3299,1758,309,22,9,1085,975,7,2067,21,131,283,332,295,350,282,222,123,59,0,0 to 101,44,1645,120,107,195,53,1673,341,123,0,79,0,0,41,2098,986,1105,2067,31,0,6109,0,8218,6109,2098,41,2722,2716,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},9,113,122,0.0737704918032787,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,18223,442,1197,2258,2084,2110,2438,2788,2448,1684,750,24,0 to 106,49,9429,8472,322,17965,258,0,1866,9041,82,7635,317,9730,8364,2,127,17838,9506,47,176,1,4884,4612,57,9553,156,505,1398,1426,1302,1423,1347,1029,736,406,2,0 to 106,45,5111,442,1445,2555,2227,4577,2749,1086,12,642,8,3,243,9730,4705,4968,9553,177,0,57907,0,67695,57907,9730,243,9664,9653,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},24,475,499,0.0480961923847695,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,162831,4439,11720,25200,27360,24012,23817,20965,13922,7366,3455,575,0 to 119,39,88280,72825,1726,161594,1237,0,13525,110450,458,42889,1330,101909,59718,16,1188,160392,99761,1282,856,11,53577,46428,1038,101043,2161,5926,17675,19644,16050,15419,11953,6900,3805,1927,450,0 to 110,38,46255,12097,16793,25898,29016,41774,30253,5094,53,2711,29,14,1336,101910,46810,54032,101043,867,0,514779,0,617343,514779,101910,1336,50031,49685,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},348,4267,4615,0.0754062838569881,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,45044,994,2729,5308,5867,5802,6231,6894,6154,3585,1361,119,0 to 119,48,24454,20116,474,44272,772,0,7976,24084,177,20894,673,28948,15983,2,111,44160,28289,126,530,3,14973,13127,315,28415,643,1988,4232,4451,4203,4192,3952,2914,1659,700,14,0 to 103,42,17230,2440,4523,4222,6600,15289,6526,1239,34,1270,35,7,503,28948,13401,15217,28415,533,0,167689,0,196738,167689,28948,503,6298,6201,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},32,1065,1097,0.0291704649042844,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,25826,443,1754,3647,3277,3848,4186,3784,2734,1520,606,27,0 to 104,44,14029,11318,479,25774,52,0,2801,13337,130,7031,383,15626,10155,5,40,25729,14924,666,33,2,8326,6980,284,15590,182,838,2298,2210,2506,2660,2275,1461,831,363,1,0 to 104,44,9756,1949,1143,2742,1271,10134,4185,2009,7,776,5,1,265,15625,7000,8341,15590,35,0,73523,0,89215,73523,15625,265,10803,10770,{D8B9952E-371D-460F-96AE-4666BDB4AD84},75,612,687,0.109170305676856,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,4416,209,661,777,678,578,551,440,298,171,53,0,0 to 97,33,2254,2130,32,4401,15,0,129,1012,2,3363,71,2605,1806,1,4,4396,1804,788,11,2,1290,1288,14,2592,75,242,488,437,399,368,280,178,111,27,0,0 to 97,36,1829,175,365,223,1366,939,287,296,4,184,5,1,24,2605,1296,1295,2592,13,0,9661,0,12275,9661,2605,24,3913,3814,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},9,75,84,0.107142857142857,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,45508,677,3040,5181,5971,6016,6260,6627,6166,3976,1573,21,0 to 168,48,26472,18879,157,45380,128,0,6465,17724,177,21832,417,24844,20544,2,118,45260,23059,1684,90,11,14079,10544,120,24743,318,1261,3065,3798,3752,3602,3522,2853,1850,818,5,0 to 106,45,16831,3498,1808,2606,3580,17617,3546,2397,16,1552,8,4,607,24844,10592,14130,24743,101,0,107577,0,132572,107577,24844,607,14058,13899,{76CC1B01-DF08-469D-A322-71F8D05597D9},117,1269,1386,0.0844155844155844,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,54528,907,2607,6436,7102,6722,7797,9214,7777,4073,1801,92,0 to 119,49,29674,24059,795,53934,594,0,4170,34565,230,17221,888,31565,22792,0,171,53764,29716,1340,502,7,16367,14257,432,31056,470,1596,4797,4897,4187,4573,4689,3576,1907,859,14,0 to 105,44,18144,3231,5084,4597,4245,17252,9559,2554,53,1538,31,7,540,31565,14511,16612,31056,509,0,169826,0,201547,169826,31565,540,13128,12517,{3B926974-437E-4986-9BFF-D87D276166F4},134,1648,1782,0.0751964085297419,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,2380,63,182,282,288,416,312,337,283,153,62,2,0 to 118,43,1176,1198,6,2377,3,0,206,747,6,1597,39,1398,981,0,1,2376,1177,218,1,2,616,776,3,1395,26,68,167,185,260,202,199,162,92,36,1,0 to 101,44,1067,242,39,47,65,1260,70,129,0,91,0,0,13,1398,777,618,1395,3,0,5744,0,7153,5744,1398,13,1429,1377,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},1,40,41,0.024390243902439,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,38845,762,2199,4172,4652,4781,5253,5642,5569,3872,1537,406,0 to 104,50,20788,16930,1127,38422,423,0,3515,26267,222,11061,442,22180,16544,1,120,38305,21545,331,301,3,11601,9734,541,21876,374,1179,2868,3184,3112,3209,3007,2599,1816,821,11,0 to 104,45,11093,2193,3466,5124,3732,12475,5669,1813,29,1150,21,8,443,22180,9865,11753,21876,304,0,131861,0,154171,131861,22180,443,10096,9810,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},118,963,1081,0.109158186864015,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,4980,144,477,700,630,560,654,760,571,361,119,4,0 to 118,44,2771,2184,25,4970,10,0,535,1868,16,3089,80,2592,2387,0,1,4969,2152,431,4,5,1402,1163,18,2583,52,197,390,368,316,383,386,290,166,43,1,0 to 99,43,1694,413,262,214,373,1936,274,213,0,160,0,0,24,2592,1169,1405,2583,9,0,12142,0,14746,12142,2592,24,3419,3370,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},11,192,203,0.0541871921182266,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,11611,87,299,549,796,905,1000,1620,3636,2228,432,59,0 to 119,66,5765,5666,180,11465,146,0,1093,6092,164,4932,415,7245,4301,0,65,11400,6665,505,65,10,3406,3685,79,7170,30,162,409,582,678,709,1025,2076,1251,304,19,0 to 102,65,4377,633,333,1827,332,4573,2265,686,3,438,1,0,187,7245,3722,3442,7170,75,0,42815,0,50105,42815,7245,187,2981,2969,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},66,340,406,0.16256157635468,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,44167,1008,3129,6662,6726,6408,6537,5980,4193,2091,1214,219,0 to 119,41,24061,19566,540,43955,212,0,3160,28349,246,11291,409,24510,19331,1,325,43631,24080,249,180,1,12812,11152,365,24329,395,1307,4534,4497,3819,3650,3000,1704,915,677,12,0 to 108,38,14091,2576,3346,4316,5676,13573,5080,1639,12,1046,5,1,382,24510,11233,12902,24329,181,0,136966,0,161558,136966,24510,382,16908,16668,{5A9B725E-B5BC-4433-A9C5-F30390148C62},92,1261,1353,0.0679970436067997,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,161983,3468,8092,23647,30289,27295,25199,21110,13145,6219,2588,931,0 to 120,40,85887,74141,1955,159797,2185,1,12096,111998,585,32869,1481,104621,57232,5,125,159668,102795,485,1334,7,53406,48214,1660,103280,2057,6092,18870,21983,18384,15615,11334,6001,2900,1330,55,0 to 110,36,43885,14642,23496,21257,36423,40553,26304,3911,60,2227,46,15,982,104621,48896,54015,103279,1341,1,611681,0,716666,611681,104621,982,16222,15995,{E33D02E5-646C-40C2-B9D7-442237FBB181},334,4566,4900,0.0681632653061224,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,15535,268,843,1539,1648,1579,1865,2499,2622,1860,805,7,0 to 222,55,8797,6598,140,15463,72,0,1668,6063,119,9210,182,8778,6632,1,124,15340,6714,2002,34,28,4825,3839,52,8716,80,316,903,967,911,1105,1459,1465,1073,495,4,0 to 103,55,6914,358,538,906,469,6954,1293,465,2,594,6,2,354,8778,3875,4851,8716,62,0,41904,0,50709,41904,8778,354,9127,8721,{3C97198A-A027-4923-A8F8-CE1FAFD29127},34,567,601,0.0565723793677205,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,16830,286,1190,2209,1966,1971,2273,2534,2135,1447,817,2,0 to 106,48,9414,7384,32,16734,96,0,1382,5820,66,10816,99,10076,6737,3,14,16717,8085,1910,63,19,5390,4586,19,9995,98,471,1231,1254,1243,1451,1551,1375,929,474,0,0 to 104,50,7960,576,1240,219,1735,7876,384,1066,19,876,16,4,349,10077,4623,5434,9995,82,0,53357,0,63481,53357,10077,349,12684,12633,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},53,518,571,0.0928196147110333,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,95672,1242,3326,10015,14625,12403,14098,16135,12518,7156,4078,76,0 to 120,49,52845,42731,96,93928,1744,0,12846,57741,411,52067,1961,60322,35087,2,261,93670,57583,1255,1456,28,31458,27337,43,58838,841,2748,7996,10744,8353,8899,9083,6039,3403,2213,3,0 to 105,44,39426,7733,4934,6745,6353,39330,13155,5654,71,3895,50,13,1307,60322,27968,32311,58838,1484,0,347627,0,408202,347627,60322,1307,4651,4560,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},202,2844,3046,0.0663164806303349,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,7236,195,494,1009,919,1007,1010,1095,747,467,282,11,0 to 118,44,3635,3542,59,7209,27,0,263,1882,110,4517,110,4887,2339,0,10,7199,4458,402,17,10,2207,2634,19,4860,93,259,704,674,752,748,753,464,288,151,1,0 to 102,44,3281,781,599,199,719,3770,371,570,2,292,0,0,118,4887,2642,2225,4860,27,0,12792,0,17733,12792,4887,118,2759,2755,{50957D1D-0570-4E74-922C-4AB5F585C01C},17,183,200,0.085,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,133032,2969,8180,18486,24142,19690,19102,18917,12440,6065,2868,173,0 to 119,41,71987,59598,1447,131151,1881,0,8890,97254,454,28112,750,82963,49902,10,157,130984,77818,3784,1308,53,43771,37061,770,81602,1587,4998,13165,16829,12819,11876,10694,6439,3081,1435,40,0 to 106,38,33616,23022,9263,15701,6146,45864,29592,3100,49,1755,29,48,945,82963,37747,44412,81602,1361,0,418940,0,502316,418940,82963,945,24819,24710,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},232,3201,3433,0.0675793766385086,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,1935,25,54,202,471,429,244,207,151,94,57,1,0 to 119,39,592,1336,7,1935,0,0,25,983,0,1546,17,1534,398,0,3,1932,1459,75,0,0,345,1186,3,1534,11,26,141,426,372,209,165,110,51,23,0,1 to 98,38,1077,367,52,38,179,1262,93,89,0,49,0,0,23,1534,1186,345,1534,0,0,1945,0,3492,1945,1534,23,778,778,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},0,12,12,0,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,2700,67,221,301,329,300,402,468,379,168,65,0,0 to 96,48,1356,1329,15,2626,74,0,195,697,1,1644,70,1726,957,0,17,2609,1473,231,22,0,803,889,12,1704,26,88,173,227,213,273,318,251,108,49,0,0 to 96,50,1290,333,29,52,50,1565,89,195,6,86,2,0,34,1726,902,812,1704,22,0,6620,0,8351,6620,1726,34,1295,1291,{35DF54B7-4874-405B-8EF3-9E45948BA616},15,61,76,0.197368421052632,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,3065,55,224,346,343,411,420,677,434,127,28,0,0 to 118,48,1091,1966,8,3064,1,0,441,1145,4,1911,4,1670,1395,0,0,3064,1224,445,1,0,573,1090,6,1669,22,83,214,238,277,262,311,189,61,13,0,0 to 93,45,1186,393,43,47,45,1572,52,78,0,74,0,0,70,1670,1090,574,1669,1,0,9807,0,11493,9807,1670,70,1733,1732,{254BD11B-C8FE-4E18-B61D-A60A5658D980},0,39,39,0,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,4595,140,316,558,665,608,667,732,485,281,134,9,0 to 118,45,2376,2202,17,4583,12,0,931,1371,34,2911,6,2672,1920,0,3,4580,1945,717,4,6,1235,1425,2,2662,44,104,304,447,394,418,452,289,158,62,0,0 to 107,46,1837,606,118,101,64,2419,179,236,0,134,0,0,46,2672,1431,1238,2662,10,0,8672,0,11364,8672,2672,46,3195,3166,{588F1D06-056B-4AF5-A2E7-A5366C833BA5},6,50,56,0.107142857142857,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,5490,144,677,850,714,722,832,742,494,233,79,3,0 to 103,40,2793,2684,13,5476,14,0,673,1373,13,3900,164,2993,2492,1,4,5471,2698,283,9,3,1437,1537,7,2981,36,172,430,472,450,519,442,277,136,58,1,0 to 103,43,2225,438,179,139,100,2630,251,222,0,127,1,0,41,2993,1540,1446,2981,12,0,13900,0,16936,13900,2993,41,3910,3838,{72742CEE-2B13-49F0-BE2B-615F9835DD19},12,155,167,0.0718562874251497,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,48839,709,2067,5594,6382,6037,6874,8935,6863,3799,1523,56,0 to 119,50,26304,21726,809,48343,496,0,4023,35541,107,19216,905,30026,18790,1,22,48321,29048,489,480,9,15346,13479,712,29537,438,1610,4536,4657,4047,4273,4642,3025,1774,1015,9,0 to 105,44,14838,2603,3194,8902,3074,15761,10702,2876,33,1826,15,1,663,30026,13694,15591,29537,489,0,193194,0,223324,193194,30026,663,4908,4850,{943DB4A8-472C-444E-B81A-0E7CF9758CA2},197,2280,2477,0.0795316915623738,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,72935,1930,4944,9626,11186,10884,10452,9695,7800,4579,1725,114,0 to 119,42,39727,32568,640,72506,429,0,13346,35304,231,33054,1306,51297,21412,3,223,72280,46782,4161,322,32,27387,23129,427,50943,1051,3268,7506,8543,8122,7500,6542,4822,2844,1082,17,0 to 103,41,32922,7369,5133,5519,15689,28469,6785,5757,51,3952,39,7,979,51297,23293,27577,50943,354,0,221352,0,272816,221352,51297,979,22245,21689,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},261,2177,2438,0.107054963084495,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,49962,1114,4263,7069,8242,8368,7887,6126,4007,1981,725,180,0 to 155,40,26691,22845,426,49363,599,0,6810,24933,390,21830,705,33994,15854,3,111,49249,30837,2603,504,49,17575,15531,334,33440,743,2532,5314,6190,6071,5517,3761,2258,1159,434,14,0 to 105,38,15270,2084,10691,5395,20056,8187,5197,2213,25,1206,15,6,379,33993,15812,17832,33440,553,0,160118,0,194265,160118,33993,379,16438,15936,{98FBCDAD-181A-4269-A498-787173F6E740},100,1345,1445,0.069204152249135,3.375268581975384,0.3579282820217912
