OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
16,16,12,023,COLUMBIA,Columbia,FL,6019,134,188,483,904,953,916,1048,771,386,226,10,0 to 119,48,2640,3314,65,5995,24,0,697,2997,63,2953,25,2941,3075,0,3,5992,2688,242,9,2,851,2076,3,2930,57,98,277,559,576,512,431,261,125,44,1,0 to 102,43,1193,490,124,1123,131,1487,1312,53,1,136,2,0,20,2941,2084,854,2930,11,0,10812,13,13823,10825,2941,20,71,70,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2015,48,47,220,395,390,332,301,154,92,34,2,0 to 99,42,813,1162,40,1956,59,0,156,1459,16,561,17,1044,935,0,36,1920,947,97,0,0,259,784,1,1044,5,17,104,250,251,179,151,51,29,7,0,1 to 97,40,420,137,41,446,13,509,522,62,0,35,0,0,4,1044,784,259,1044,0,0,4787,59,5915,4846,1044,4,593,592,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},39,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1356,26,45,139,203,204,222,208,191,85,32,1,0 to 119,48,677,665,14,1336,20,0,35,820,5,446,60,513,840,0,3,1333,435,67,8,3,190,311,1,502,11,17,71,107,99,84,55,43,18,8,0,0 to 96,39,355,81,35,31,25,405,72,33,0,16,0,0,4,513,316,196,502,11,0,3775,9,4304,3784,513,4,541,535,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},39,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,10202,208,348,973,1187,1274,1351,1662,1561,1116,499,23,0 to 100,53,5130,4677,395,10097,105,0,884,6924,82,3401,113,3863,6289,1,49,10048,3818,20,25,0,1860,1957,21,3838,106,217,615,652,630,589,424,264,212,151,3,0 to 100,39,1724,233,1042,839,1800,1424,614,588,4,336,3,1,100,3863,1972,1870,3838,25,0,22052,77,26029,22129,3863,100,2028,2017,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},39,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,83026,1940,2979,9556,14178,12570,12767,12432,8984,4783,2259,578,0 to 119,45,46242,36282,502,82553,473,0,4196,69867,458,10887,493,33198,49609,22,197,82334,32501,564,128,5,17534,15298,233,33065,718,1525,5556,7013,5366,4997,3766,2034,1126,631,466,0 to 104,37,11162,4308,4423,13172,8164,9710,15191,2636,20,1435,14,5,426,33198,15357,17607,33065,133,0,214689,351,248716,215040,33198,426,6006,5659,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},37,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,23657,466,887,2274,2893,2897,3204,3904,3822,2328,867,115,0 to 119,52,13098,10183,376,23322,335,0,2378,18624,177,5569,90,9468,14175,3,11,23308,9288,80,100,0,4870,4350,148,9368,224,599,1520,1669,1516,1388,1162,716,446,216,12,0 to 101,39,4223,890,1259,2996,2417,3297,3654,574,8,664,7,2,242,9468,4397,4920,9368,100,0,76789,267,86584,77056,9468,242,681,582,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,11477,170,364,1199,1422,1667,1929,1896,1544,892,370,24,0 to 101,49,6496,4824,157,11448,29,0,851,8583,130,2119,127,3335,8128,1,13,11434,3201,123,11,0,1821,1492,11,3324,32,109,538,492,523,586,462,302,189,102,0,0 to 100,44,1676,565,274,809,308,2123,893,490,0,220,0,0,53,3335,1497,1827,3324,11,0,31968,18,35341,31986,3335,53,2046,2013,{D8B9952E-371D-460F-96AE-4666BDB4AD84},44,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,2050,67,182,327,372,279,287,244,178,82,32,0,0 to 95,37,1049,974,27,2041,9,0,87,784,2,1253,24,992,1056,1,1,2039,715,270,6,1,459,521,5,985,25,86,177,193,152,151,105,69,26,8,0,0 to 93,35,721,91,111,62,615,301,69,137,3,96,3,1,8,992,526,461,985,7,0,5299,2,6309,5301,992,8,1581,1480,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},35,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,25151,328,626,2192,3444,3426,3671,4026,3922,2480,969,67,0 to 168,51,15257,9794,100,25114,37,0,5807,13503,177,8460,253,6798,18112,1,240,24875,6610,174,13,1,4066,2663,55,6784,85,191,846,1340,1338,1103,892,528,303,131,41,0 to 104,41,3945,1360,535,944,877,4439,1468,847,5,518,0,0,104,6798,2665,4078,6784,14,0,46763,24,53693,46787,6798,104,1742,1577,{76CC1B01-DF08-469D-A322-71F8D05597D9},41,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,28048,332,621,2279,3407,3285,4067,5325,4666,2544,1219,303,0 to 119,54,15601,11848,599,27908,140,0,1769,22728,230,5806,309,8129,19846,0,73,27836,7269,803,51,6,4246,3771,55,8072,114,281,1251,1452,1155,1200,1150,781,450,265,30,0 to 103,43,3689,1057,1595,1731,1384,4447,2241,1011,9,596,7,0,146,8129,3801,4273,8072,57,0,67184,85,75509,67269,8129,146,3076,2454,{3B926974-437E-4986-9BFF-D87D276166F4},43,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1387,28,57,129,185,268,195,212,177,91,44,1,0 to 118,46,675,703,9,1387,0,0,57,739,6,616,8,566,820,0,1,1386,528,38,0,0,188,378,0,566,2,19,53,96,130,92,82,58,27,7,0,2 to 91,43,381,134,13,38,34,481,51,50,0,34,0,0,4,566,378,188,566,0,0,3622,0,4201,3622,566,4,540,485,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},43,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,20478,341,484,1625,2303,2308,2707,3205,3285,2246,760,1214,0 to 103,54,10840,8730,908,20325,153,0,609,18072,222,1600,122,5291,15075,0,112,20215,5190,69,32,0,2683,2479,97,5259,94,205,816,942,841,817,725,460,270,103,18,0 to 103,41,1636,663,1007,1953,782,2114,2363,470,13,291,5,1,74,5291,2497,2696,5259,32,0,60776,124,66280,60900,5291,74,1727,1436,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,2469,57,89,288,319,273,362,432,336,223,86,4,0 to 118,50,1404,1048,17,2464,5,0,162,1555,16,952,17,709,1758,0,2,2462,659,46,1,3,349,354,2,705,16,38,127,111,89,119,92,69,35,10,3,0 to 99,41,348,123,154,80,186,410,109,66,0,42,0,0,5,709,357,350,705,4,0,5647,1,6367,5648,709,5,947,897,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},41,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,5127,34,79,204,286,311,441,692,1713,1107,175,85,0 to 119,68,2627,2354,146,5047,80,0,335,3929,164,1160,131,1383,3722,0,22,5025,1255,120,7,1,681,691,3,1375,6,43,112,108,150,185,195,326,208,50,0,1 to 99,59,743,222,72,338,68,925,382,301,1,184,0,0,44,1383,694,686,1375,8,0,16778,73,18249,16851,1383,44,719,707,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},60,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,23616,362,658,2650,3437,3282,3642,3589,2935,1449,772,840,0 to 119,47,13232,10180,204,23556,60,0,1077,19488,246,3060,162,7264,16293,1,58,23500,7167,70,27,0,3876,3288,73,7237,125,246,1410,1457,1079,1085,794,501,292,273,2,0 to 108,38,2903,799,958,2577,1053,2514,3670,754,5,491,1,0,137,7264,3300,3889,7237,27,0,62117,35,69481,62152,7264,137,2700,2458,{5A9B725E-B5BC-4433-A9C5-F30390148C62},38,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,92361,1651,2381,10323,16049,14599,14419,13365,8964,4296,1705,4609,0 to 120,44,49589,42006,766,90993,1367,1,3676,82774,585,9783,544,32341,59568,3,449,90543,31783,152,401,5,16089,15423,423,31935,502,917,5885,7740,5793,4837,3500,1762,914,410,81,0 to 106,36,7593,4359,5498,14485,5683,7419,18833,1849,53,964,42,6,325,32341,15635,16274,31934,406,1,243749,986,277363,244735,32341,325,3511,3283,{E33D02E5-646C-40C2-B9D7-442237FBB181},36,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,5942,59,150,475,622,595,762,1086,1147,771,252,23,0 to 222,58,3323,2459,160,5930,12,0,359,3991,119,1544,44,1614,4292,1,35,5895,974,636,3,1,837,761,12,1610,13,47,216,196,186,247,301,198,134,62,14,0 to 100,51,1248,105,118,139,85,1323,202,119,0,154,0,0,38,1614,764,838,1610,4,0,17231,8,18864,17239,1614,38,2258,1806,{3C97198A-A027-4923-A8F8-CE1FAFD29127},51,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,6059,107,145,596,818,750,877,1013,787,570,367,29,0 to 102,52,3596,2440,23,6031,28,0,591,4075,66,2301,60,2106,3950,0,3,6028,1786,306,12,2,1156,925,11,2092,28,69,280,331,283,315,297,222,149,107,25,0 to 101,46,1567,231,260,34,379,1652,61,395,2,270,2,1,53,2106,929,1166,2092,14,0,17393,14,19526,17407,2106,53,2391,2340,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},46,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,53260,569,1022,4574,7497,6550,7754,9567,8055,4872,2712,88,0 to 120,53,30227,22964,69,52864,396,0,4890,40722,411,16881,552,18217,35027,1,15,52849,17824,267,119,7,9710,8377,4,18091,242,622,2630,3593,2530,2637,2567,1605,1037,745,9,0 to 104,42,9379,3165,1522,4025,1986,10987,5118,2436,29,1757,22,2,522,18217,8443,9770,18091,126,0,157113,276,175750,157389,18217,522,1267,1175,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},42,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,3780,98,160,423,544,543,504,566,419,288,224,11,0 to 118,47,1947,1768,65,3763,17,0,123,2470,110,1374,37,1919,1858,0,3,3760,1744,158,14,3,759,1135,8,1902,42,101,270,302,326,284,246,158,111,78,1,0 to 102,42,848,228,252,574,364,869,669,228,2,107,0,0,45,1919,1141,770,1902,17,0,6742,0,8702,6742,1919,45,414,410,{50957D1D-0570-4E74-922C-4AB5F585C01C},41,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,70619,1181,2137,8012,12724,10653,10734,11260,7860,3921,1981,156,0 to 119,45,38418,31299,902,69835,784,0,2484,60643,454,6760,288,23972,46447,13,187,69642,22033,1691,226,22,12470,11056,198,23724,345,987,3843,5478,3964,3533,2871,1694,790,443,24,0 to 103,37,5939,7835,2438,7512,1929,11944,9851,1372,31,734,17,8,210,23972,11190,12582,23724,248,0,189664,552,214406,190216,23972,210,5546,5432,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},37,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,518,10,6,61,84,66,53,65,65,61,46,1,0 to 119,49,295,218,5,518,0,0,15,400,0,122,1,193,324,0,1,517,184,9,0,0,83,110,0,193,5,6,20,48,26,25,29,21,9,4,0,1 to 98,39,120,44,20,9,24,156,13,28,0,10,0,0,2,193,110,83,193,0,0,799,0,996,799,193,2,76,76,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},47,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,1453,33,78,129,201,177,248,280,190,89,28,0,0 to 94,49,691,759,3,1391,62,0,88,609,1,602,25,695,754,0,4,1387,682,4,9,0,255,431,0,686,12,33,68,119,103,123,137,69,22,9,0,0 to 94,46,413,241,14,18,34,608,44,101,2,43,2,0,2,695,438,257,686,9,0,4223,55,4978,4278,695,2,594,590,{35DF54B7-4874-405B-8EF3-9E45948BA616},46,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1605,18,37,111,155,218,208,466,298,78,16,0,0 to 118,56,440,1160,5,1605,0,0,83,1137,4,479,5,448,1157,0,0,1605,361,87,0,0,112,336,0,448,7,11,51,85,108,66,81,31,6,2,0,0 to 91,40,304,127,12,5,13,421,14,33,0,23,0,0,5,448,336,112,448,0,0,7499,0,7966,7499,448,5,337,336,{254BD11B-C8FE-4E18-B61D-A60A5658D980},41,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1994,39,53,189,264,253,308,386,226,166,104,6,0 to 118,51,1114,860,20,1992,2,0,149,1383,34,615,2,535,1458,0,1,1991,425,110,0,0,201,334,0,535,9,16,62,76,89,95,100,43,32,13,0,0 to 107,46,303,164,22,46,15,455,65,45,0,30,0,0,4,535,334,201,535,0,0,4080,2,4639,4082,535,4,583,552,{588F1D06-056B-4AF5-A2E7-A5366C833BA5},46,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,2121,30,80,209,298,329,361,374,265,129,45,1,0 to 102,49,1038,1077,6,2113,8,0,79,1281,13,816,36,730,1388,0,3,2110,675,49,5,1,243,481,0,724,7,26,99,146,140,127,115,44,19,7,0,1 to 91,41,456,165,50,53,44,592,88,79,0,33,1,0,5,730,483,247,724,6,0,7221,2,7987,7223,730,5,622,547,{72742CEE-2B13-49F0-BE2B-615F9835DD19},41,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,25142,312,493,2074,2828,2903,3540,5202,4433,2412,787,158,0 to 119,55,14096,10923,123,25115,27,0,1437,21445,107,5124,160,6248,18879,0,15,25100,6112,115,18,3,3308,2891,28,6227,63,157,1087,1069,906,907,888,541,349,266,15,0 to 105,42,3259,740,539,1689,796,3491,1940,988,6,500,3,1,160,6248,2901,3319,6227,21,0,78729,17,85051,78746,6248,160,1449,1391,{943DB4A8-472C-444E-B81A-0E7CF9758CA2},42,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,32400,775,1311,3435,4902,4783,4757,4649,3960,2409,1049,370,0 to 119,46,17933,14121,346,32272,128,0,2231,24832,231,7016,257,14812,17523,1,64,32207,13260,1501,39,12,7750,6812,199,14761,300,753,2167,2739,2571,2226,1765,1179,695,377,40,0 to 119,40,7052,2609,1393,3707,3792,6073,4896,1951,13,1538,13,1,334,14812,6834,7779,14761,51,0,84712,78,99704,84790,14812,334,5243,4674,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},40,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,22890,325,882,2411,3697,3714,3849,3323,2350,1180,447,712,0 to 155,45,12418,10233,239,22780,110,0,2490,16553,390,4330,242,9936,12835,2,117,22662,9794,60,80,2,5098,4600,156,9854,138,450,1454,1981,1840,1724,1103,686,363,149,48,0 to 104,39,3109,535,2923,3287,4338,1701,3815,808,11,436,8,2,107,9936,4653,5124,9854,82,0,55173,29,65264,55202,9936,107,3557,3047,{98FBCDAD-181A-4269-A498-787173F6E740},39,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,5267,99,147,349,635,538,646,815,857,745,416,20,0 to 119,57,3074,2157,36,5200,67,0,183,4085,47,1293,51,1501,3758,0,8,5192,1373,124,4,0,797,699,1,1497,28,61,166,244,201,225,236,151,130,59,0,0 to 98,47,878,233,204,182,421,834,242,325,2,167,1,0,37,1501,702,798,1497,4,0,14783,63,16358,14846,1501,37,1433,1319,{0861B99E-575F-41B4-992B-839B0B3F4F63},48,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,40651,581,963,4139,5677,5543,5943,6332,5887,3744,1744,98,0 to 119,50,22691,17618,342,39486,1164,1,1714,33439,613,10862,268,16872,23745,2,32,39453,15846,731,287,8,8650,7741,186,16577,302,598,2617,3084,2701,2665,2142,1377,803,540,43,0 to 102,41,6914,1601,831,7231,3765,5247,7565,1979,20,1113,17,8,362,16872,7897,8784,16576,295,1,97846,928,115701,98774,16872,362,4064,2461,{D113537A-BA7A-4D3B-936C-EA742824206C},41,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,24414,624,1048,2811,3143,3321,3413,3458,3286,2422,853,35,0 to 105,48,12891,11234,289,23993,421,0,1625,17072,356,7236,231,10530,13683,3,198,23792,9972,416,126,16,5260,5008,120,10388,284,545,1766,1719,1761,1668,1294,755,497,240,1,0 to 104,40,5121,641,1079,3547,4207,2573,3608,1197,23,744,13,6,146,10530,5070,5302,10388,142,0,52820,289,63711,53109,10530,146,6103,5123,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},40,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,274202,3720,6892,27857,46910,44710,49613,43247,27075,15079,8184,915,0 to 225,46,141874,130379,1949,272305,1896,1,12325,229458,2785,32696,1182,139271,134505,97,329,271881,136685,1645,931,10,70033,67375,922,138330,2016,4595,17841,25997,23364,25123,19564,10898,6128,3413,332,0 to 108,43,50169,11994,13730,62437,57206,16369,64755,12614,70,6447,38,16,1939,139271,67831,70450,138329,941,1,568449,987,710504,569436,139271,1939,13047,12309,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},43,5.083999884705762,0.45963940749256754
