FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,560,11,12,20,43,75,79,117,120,65,17,1,0 to 101,58,334,221,5,555,5,0,7,489,41,69,7,31,529,0,0,555,8,21,2,0,17,12,0,29,0,0,1,2,2,4,7,7,4,4,0,22 to 95,58,9,14,6,0,3,25,1,4,2,7,0,0,3,31,14,17,29,2,0,812,3,847,815,31,3,54,16,66,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1016,42,33,85,112,121,138,147,176,106,49,7,0 to 99,53,647,362,7,993,23,0,24,890,53,218,10,71,943,2,0,991,25,42,4,0,40,27,0,67,2,0,8,4,8,8,16,10,4,11,0,0 to 98,57,21,38,4,4,1,53,13,10,0,4,0,1,3,71,28,43,67,4,0,1190,19,1282,1209,71,3,126,26,56,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,82,0,218,1997,0,0,2215,215,3,0,0,5,213,0,218,0,0,13,57,53,54,36,5,0,0,0,20 to 73,41,115,96,5,2,7,132,79,5,0,1,0,0,1,218,213,5,218,0,0,2064,0,2284,2064,218,1,35,14,49,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,1953,12,21,155,527,405,313,238,166,69,43,4,0 to 118,41,418,1504,31,1947,6,0,33,1855,9,262,5,262,1690,1,0,1946,251,8,2,1,26,233,0,259,1,4,26,76,54,49,40,9,3,0,0,3 to 84,39,114,114,25,6,34,81,144,18,1,5,0,0,1,262,235,27,259,3,0,2048,3,2314,2051,262,1,6,4,50,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,3159,36,31,199,376,414,527,615,435,285,186,55,0 to 119,54,1768,1337,54,3135,24,0,48,3033,28,129,39,132,3022,2,3,3130,98,29,5,0,53,74,0,127,3,1,12,25,19,32,19,11,9,1,0,2 to 93,47,102,12,6,7,34,83,10,30,2,14,1,1,4,132,76,56,127,5,0,4431,19,4584,4450,132,4,38,31,50,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3384,86,99,233,402,420,441,662,546,286,199,10,0 to 119,55,1912,1370,102,3369,15,0,183,3060,63,271,16,171,3209,0,4,3365,139,30,2,0,85,84,0,169,5,9,18,38,26,29,26,12,5,3,0,0 to 97,41,79,77,12,1,15,149,5,6,0,15,0,0,2,171,86,85,169,2,0,4243,13,4433,4256,171,2,10,8,46,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,883,30,14,95,131,119,143,148,103,66,32,2,0 to 99,48,489,340,54,823,60,0,22,839,16,62,3,29,854,0,0,823,10,19,0,0,18,11,0,29,0,0,3,3,3,1,5,6,5,3,0,20 to 97,64,20,7,2,0,0,28,1,8,0,11,0,0,4,29,11,18,29,0,0,1066,60,1155,1126,29,4,4,3,70,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,774,12,13,58,90,92,128,148,148,63,21,1,0 to 119,54,437,322,15,764,10,0,3,743,5,34,3,30,743,1,0,763,16,13,0,1,14,15,0,29,1,0,2,4,10,7,2,3,1,0,0,1 to 79,42,23,3,1,2,0,26,3,4,0,1,0,0,0,30,15,15,29,1,0,948,9,988,957,30,0,42,37,44,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,6951,129,144,460,650,771,872,1305,1322,924,352,22,0 to 100,58,3422,3044,485,6858,93,0,200,6267,82,674,70,917,6020,6,8,6845,892,12,13,0,421,478,5,904,37,49,133,147,174,148,117,49,42,20,1,0 to 98,39,340,29,306,229,464,219,221,155,2,94,1,1,13,917,487,425,904,13,0,10036,79,11039,10115,917,13,68,57,55,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,52132,1209,1404,4180,7639,7531,8131,9050,7264,3894,1730,100,0 to 119,50,29935,21965,232,51727,405,0,631,50166,458,1875,306,2861,49190,50,31,51647,2685,116,57,3,1500,1300,1,2801,53,93,333,511,453,434,391,279,184,129,1,0 to 104,44,1150,621,543,487,768,1410,623,626,11,474,8,3,91,2861,1327,1533,2801,60,0,69417,344,72705,69761,2861,91,951,603,45,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,15261,249,303,814,1382,1550,1989,2916,3251,2010,694,103,0 to 119,59,8703,6241,317,15017,244,0,571,14135,177,1100,43,1219,14036,6,0,15011,1152,58,9,0,668,540,2,1210,13,39,85,159,178,177,181,163,140,84,0,0 to 101,52,780,203,100,127,333,699,178,158,2,223,2,2,105,1219,544,673,1210,9,0,22038,235,23501,22273,1219,105,219,121,57,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,8183,118,198,604,942,1131,1339,1472,1298,756,304,21,0 to 101,53,4728,3342,113,8163,20,0,100,7754,130,449,45,405,7775,3,0,8160,344,58,3,0,236,166,0,402,0,3,19,42,50,62,74,73,52,30,0,6 to 95,58,233,81,34,54,30,306,66,119,0,93,0,0,32,405,167,238,402,3,0,10927,17,11354,10944,405,32,210,177,59,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,863,19,42,106,157,100,111,129,114,60,25,0,0 to 94,45,475,370,18,858,5,0,35,616,2,153,4,151,712,0,0,858,134,14,3,0,66,82,0,148,3,10,23,35,20,16,18,16,6,4,0,0 to 88,37,88,42,13,5,80,63,5,28,3,15,3,1,0,151,84,67,148,3,0,1112,2,1266,1114,151,0,231,174,50,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,13143,145,182,796,1456,1527,1933,2317,2521,1632,609,25,0 to 168,57,7963,5134,46,13115,28,0,3784,8964,177,2283,136,281,12660,4,198,12913,255,21,4,1,157,119,0,276,5,4,18,39,54,51,53,33,17,7,0,0 to 97,49,199,51,18,8,54,214,8,54,3,41,0,0,8,281,120,161,276,5,0,16699,23,17008,16722,281,8,324,162,51,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,20057,169,291,1022,2003,2149,2888,4175,3914,2138,1022,286,0 to 119,58,11207,8124,726,19962,95,0,242,19190,230,796,134,829,19215,12,1,19949,687,128,13,1,398,417,0,815,4,19,71,109,97,132,151,132,61,53,0,0 to 102,53,456,190,141,28,116,643,56,220,5,154,4,0,45,829,423,406,815,14,0,24882,81,25812,24963,829,45,857,288,53,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,803,21,27,65,88,132,105,136,120,68,40,1,0 to 118,52,475,309,19,803,0,0,11,696,6,72,0,60,743,0,0,803,44,16,0,0,29,31,0,60,0,3,12,2,11,11,10,3,5,3,0,6 to 91,48,44,14,1,1,1,57,2,13,0,10,0,0,2,60,31,29,60,0,0,1058,0,1118,1058,60,2,105,51,46,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,14980,206,229,749,1324,1451,1853,2450,2809,1992,655,1262,0 to 101,59,7867,6017,1096,14845,135,0,136,14473,222,355,92,337,14622,11,10,14825,306,16,15,0,168,154,0,322,2,8,23,39,48,60,53,53,44,7,0,1 to 98,52,180,42,86,14,85,220,17,122,12,75,5,1,15,337,163,174,322,15,0,19978,119,20446,20097,337,15,405,125,52,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,1637,25,27,145,197,177,218,325,258,185,79,1,0 to 118,56,977,643,17,1636,1,0,19,1496,16,201,2,73,1563,1,0,1635,70,3,0,0,29,44,0,73,1,1,15,15,15,5,12,4,2,3,0,3 to 99,36,26,8,6,33,9,31,33,12,0,4,0,0,1,73,44,29,73,0,0,2259,1,2334,2260,73,1,92,42,53,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,3821,27,25,90,171,180,295,510,1415,890,132,86,0 to 119,69,1867,1743,211,3747,74,0,111,3465,164,271,54,261,3537,0,23,3724,212,48,0,1,76,184,0,260,0,0,7,6,32,40,39,89,40,8,0,17 to 92,65,217,34,6,3,15,239,6,58,0,45,0,0,17,261,185,76,260,1,0,4883,73,5222,4956,261,17,56,44,66,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,16425,210,378,1232,2017,2202,2559,2812,2466,1170,502,877,0 to 119,51,9354,6941,130,16390,35,0,251,15782,246,500,95,542,15867,13,3,16374,487,48,7,0,285,250,0,535,9,13,65,90,84,95,64,66,33,23,0,0 to 100,45,378,76,65,16,187,326,22,204,5,116,1,0,12,542,253,289,535,7,0,23308,28,23891,23336,542,12,457,214,47,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,61700,1087,1395,4563,8622,9114,9892,10165,7338,3479,1328,4717,0 to 120,48,34152,27234,314,60656,1043,1,641,59752,585,1634,394,2378,59259,50,13,60594,2191,102,81,4,1086,1206,1,2293,41,64,276,462,450,463,347,160,81,33,1,0 to 101,42,881,413,706,293,928,1002,363,660,42,348,35,5,45,2378,1255,1122,2292,85,1,79798,958,83187,80756,2378,45,729,516,45,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,3810,38,64,170,343,336,442,703,900,615,190,9,0 to 222,62,2102,1499,209,3803,7,0,54,3555,119,217,25,128,3679,2,1,3801,67,61,0,0,62,66,0,128,2,4,10,9,8,17,31,21,16,10,0,0 to 97,60,89,4,10,25,14,90,24,31,0,33,0,0,12,128,66,62,128,0,0,6096,6,6233,6102,128,12,512,59,58,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,3479,65,59,241,462,429,524,658,538,369,130,4,0 to 100,54,2085,1380,14,3461,18,0,63,3282,66,156,40,126,3353,0,0,3461,72,49,4,1,58,63,0,121,1,6,7,26,16,18,25,16,9,2,0,1 to 88,48,97,17,5,2,27,90,4,39,2,25,2,1,5,126,64,62,121,5,0,5507,13,5647,5520,126,5,202,151,49,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,36349,352,428,2051,4107,4102,5239,7124,6630,4057,2179,80,0 to 120,57,21104,15141,104,36025,324,0,1765,33335,411,3293,373,1638,34557,14,140,35872,1455,131,46,6,914,672,0,1586,14,49,137,271,207,231,241,195,158,134,1,0 to 101,51,1008,330,103,145,177,1215,194,429,18,418,16,1,95,1638,703,935,1586,52,0,52424,271,54350,52695,1638,95,347,255,56,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2107,54,46,157,268,239,246,340,299,236,212,10,0 to 118,56,1354,671,82,2102,5,0,58,1856,110,506,13,175,1932,0,0,2102,70,100,2,3,118,52,0,170,1,6,16,17,23,22,19,21,30,20,0,1 to 102,56,114,43,7,6,19,143,8,34,1,40,0,0,18,175,54,121,170,5,0,2509,0,2686,2509,175,18,14,10,63,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,47829,766,989,4154,7498,6936,7397,8675,6395,3271,1637,110,-6 to 119,50,26466,20605,758,47230,599,0,573,45833,454,1686,199,1806,45980,20,23,47187,1546,187,63,10,938,795,0,1733,27,49,181,306,289,275,304,206,106,63,0,0 to 118,47,763,608,246,116,295,1273,165,380,20,291,11,3,55,1806,832,972,1733,73,0,63534,526,65912,64060,1806,55,1117,1001,50,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,341,5,0,42,41,38,34,36,45,55,44,1,0 to 119,59,220,114,7,341,0,0,12,326,0,15,1,10,331,0,0,341,8,2,0,0,4,6,0,10,0,0,2,3,0,2,1,0,0,2,0,19 to 98,39,10,0,0,0,3,7,0,3,0,1,0,0,0,10,6,4,10,0,0,392,0,402,392,10,0,5,5,47,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,601,10,10,36,57,62,100,123,119,65,19,0,0 to 94,56,356,242,3,547,54,0,14,579,1,51,8,7,593,0,1,546,7,0,0,0,3,4,0,7,0,1,0,1,2,3,0,0,0,0,0,9 to 52,42,5,0,2,0,2,5,0,1,0,0,0,0,0,7,4,3,7,0,0,921,54,982,975,7,0,19,16,42,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1164,11,17,54,75,108,138,399,277,71,14,0,0 to 118,59,316,841,7,1164,0,0,14,1125,4,73,4,38,1126,0,0,1164,35,3,0,0,6,32,0,38,0,0,0,5,1,2,17,11,2,0,0,25 to 80,62,24,11,2,1,1,36,1,7,0,7,0,0,1,38,32,6,38,0,0,1916,0,1954,1916,38,1,30,28,55,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1465,18,25,116,185,168,221,288,189,146,103,6,0 to 118,54,919,521,25,1463,2,0,28,1395,34,144,1,52,1412,0,1,1462,13,39,0,0,41,11,0,52,0,2,3,3,7,5,3,6,12,11,0,8 to 107,70,46,5,1,0,0,52,0,4,0,11,0,0,2,52,11,41,52,0,0,1826,2,1881,1828,52,2,112,80,74,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1249,13,29,86,137,168,211,246,212,107,39,1,0 to 102,54,705,533,11,1245,4,0,12,1191,13,187,4,35,1213,0,1,1244,17,16,2,0,23,10,0,33,0,0,5,5,5,10,5,3,1,1,0,18 to 86,46,17,13,3,0,0,33,0,6,0,5,0,0,1,35,10,25,33,2,0,1639,2,1676,1641,35,1,90,27,43,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,19253,251,334,1029,1797,2052,2676,4381,3929,2099,555,150,0 to 119,58,10968,8183,102,19236,17,0,150,18868,107,418,78,464,18785,2,2,19232,405,48,9,2,245,208,0,453,4,13,47,53,62,70,94,58,37,26,0,0 to 99,52,337,61,22,33,88,333,32,111,2,66,2,0,13,464,211,253,453,11,0,26347,6,26819,26353,464,13,282,224,53,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,18302,428,456,1270,2243,2317,2641,3007,2937,1880,783,340,0 to 119,53,10641,7473,188,18210,92,0,327,16935,231,1171,130,1206,17078,8,10,18192,1035,158,12,1,728,465,0,1193,10,26,96,159,179,178,170,146,138,104,0,0 to 103,52,753,234,148,58,335,768,90,445,8,339,3,0,67,1206,470,736,1193,13,0,25342,79,26637,25421,1206,67,797,282,56,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,13230,165,342,879,1764,1900,2197,2302,1767,880,320,714,0 to 155,50,7420,5740,70,13153,77,0,401,12086,390,779,198,749,12423,14,44,13096,665,35,47,2,347,353,0,700,8,17,54,124,115,143,126,87,57,17,1,0 to 102,48,354,61,276,9,428,236,36,247,7,157,7,2,21,749,389,360,700,49,0,15653,27,16444,15680,749,21,555,57,50,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,3695,52,55,167,374,324,426,592,707,623,355,20,0 to 119,62,2241,1417,37,3630,65,0,45,3537,47,132,19,150,3540,2,3,3625,126,22,2,0,73,75,0,148,1,8,10,19,19,20,35,17,19,2,0,0 to 87,54,85,32,24,7,50,83,15,49,1,40,1,0,9,150,77,73,148,2,0,5000,63,5216,5063,150,9,160,58,56,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,25621,284,350,1604,2834,3080,3614,4455,4731,3171,1434,64,0 to 119,57,14826,10568,227,24683,937,1,475,23207,613,2079,166,2315,23279,3,24,24657,2109,142,59,5,1216,1032,3,2251,25,43,171,299,342,381,350,280,216,206,2,0 to 101,52,1381,371,55,444,607,1177,467,674,15,455,13,4,117,2315,1070,1242,2250,64,1,32357,873,35551,33230,2315,117,2100,563,54,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,14990,292,497,1150,1606,1764,1959,2323,2658,2057,677,7,0 to 105,55,8144,6811,35,14634,356,0,333,13115,356,1711,155,2070,12901,4,15,14615,1727,267,60,16,973,1021,0,1994,47,108,254,297,344,312,279,193,158,78,0,0 to 101,44,1188,105,193,508,1037,509,448,340,20,239,11,6,57,2070,1065,1005,1994,76,0,18551,280,20909,18831,2070,57,1850,854,57,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,157290,1642,2351,11694,24717,24882,28658,27228,18617,10638,6269,594,0 to 225,49,82480,73603,1207,156206,1083,1,3468,143916,2785,13927,947,19756,137270,195,69,155944,18752,806,190,8,9788,9762,8,19558,129,255,1620,3248,3103,3648,3190,2142,1368,1045,8,0 to 108,49,10696,3115,959,4788,10483,4205,4870,5138,44,3152,30,11,767,19756,9893,9855,19557,198,1,187312,884,208152,188196,19756,767,2495,1755,49,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,3058,24,40,178,335,413,532,671,511,256,96,2,0 to 101,55,1621,1403,34,3001,57,0,950,1812,83,636,99,114,2885,0,59,2943,84,19,7,4,49,54,0,103,0,4,8,13,13,18,22,16,13,7,0,6 to 91,55,78,5,1,19,22,58,23,14,3,10,2,0,4,114,60,54,103,11,0,3614,45,3773,3659,114,4,335,70,49,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,6892,226,261,522,910,963,1032,1150,1041,542,235,10,0 to 119,50,3775,3089,28,6826,66,0,72,6616,99,219,58,258,6631,2,1,6823,214,40,4,0,74,180,0,254,3,2,19,50,45,51,38,32,11,7,0,0 to 94,47,181,43,5,25,15,195,44,27,0,25,0,0,9,258,180,78,254,4,0,9329,62,9652,9391,258,9,626,96,49,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,1615,50,34,97,166,205,241,285,244,158,132,3,0 to 101,55,899,679,37,1559,56,0,26,1493,15,154,37,131,1483,1,0,1558,92,23,13,3,66,49,0,115,3,4,8,15,23,17,26,16,13,6,0,1 to 101,52,104,9,1,1,21,91,3,19,3,17,2,0,9,131,55,76,115,16,0,2099,40,2274,2139,131,9,98,45,49,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,2992,24,30,238,513,514,521,469,308,229,140,6,0 to 105,48,1335,1562,95,2969,23,0,18,2618,19,280,21,309,2678,4,1,2964,264,36,8,1,62,238,0,300,2,6,29,75,71,60,46,14,5,1,0,0 to 87,40,123,126,17,34,28,170,102,33,2,20,0,0,1,309,242,67,300,9,0,3783,14,4114,3797,309,1,334,180,36,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,891,11,15,50,94,109,139,194,126,97,55,0,-50 to 119,56,527,341,23,885,6,0,29,751,9,112,12,84,802,0,5,880,64,18,2,0,42,40,0,82,0,2,4,8,8,6,20,15,14,7,0,9 to 99,60,38,13,0,31,1,48,33,5,0,15,0,0,7,84,40,44,82,2,0,1284,4,1373,1288,84,7,103,50,54,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,3223,44,51,224,326,364,442,621,596,381,170,4,0 to 103,57,1736,1288,199,3115,108,0,37,3129,28,62,28,82,3141,0,0,3115,62,13,5,2,39,36,0,75,0,1,13,15,14,8,9,13,6,3,0,14 to 89,44,58,12,2,3,1,71,3,24,0,15,0,0,1,82,39,43,75,7,0,4331,101,4515,4432,82,1,56,50,49,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,227,2,8,24,34,44,29,27,29,23,6,1,1 to 90,45,103,122,2,227,0,0,35,146,3,75,0,85,142,0,0,227,83,2,0,0,19,66,0,85,1,3,9,19,24,14,8,5,1,1,0,3 to 89,38,66,8,3,8,53,23,9,14,0,8,0,0,1,85,66,19,85,0,0,285,0,370,285,85,1,102,51,61,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,5420,60,48,241,450,522,740,1041,1041,730,541,6,0 to 119,61,3201,2146,73,5402,18,0,131,4946,62,494,21,500,4915,1,4,5397,354,144,1,1,308,189,1,498,4,4,15,50,30,53,91,78,79,96,0,0 to 101,65,399,54,11,34,25,427,46,98,1,130,1,0,72,500,190,309,498,2,0,7041,16,7558,7057,500,72,79,59,68,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,13023,152,168,646,1132,1181,1611,2421,2763,1973,935,41,0 to 119,61,7363,5485,175,12787,236,0,421,12234,190,905,92,686,12332,4,1,12782,606,59,15,6,386,279,0,665,4,7,32,65,73,76,101,114,122,92,0,0 to 104,63,530,52,42,41,62,526,77,193,12,167,9,1,85,686,291,395,665,21,0,22222,215,23128,22437,686,85,236,130,64,2.5144239533088304,0.13745510082611065
