OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
48,48,13,025,DADE,Dade,FL,277831,3832,7078,28333,47505,45299,50295,43754,27324,15215,8251,945,0 to 225,46,143589,132217,2025,275926,1904,1,13116,230614,2785,33781,1192,142662,134668,95,406,275428,140029,1684,939,10,71675,69098,940,141713,2068,4765,18277,26570,23928,25781,20036,11137,6263,3476,361,0 to 108,43,51903,12265,14737,62808,59421,16875,65417,12831,70,6579,38,16,1999,142662,69559,72094,141712,949,1,582312,990,727821,583302,142662,1999,13375,12637,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},43,1694,13850,15544,0.108980957282553,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,5829,109,164,501,860,860,1002,1101,763,354,112,3,0 to 101,49,2981,2808,40,5732,97,0,1579,2546,83,1963,155,1603,4159,0,67,5667,1547,28,23,5,744,821,10,1575,36,63,197,312,287,291,209,130,62,15,1,0 to 100,42,1057,110,71,337,572,624,379,242,5,100,4,0,13,1603,838,755,1575,28,0,12732,67,14414,12799,1603,13,2833,2556,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},42,30,257,287,0.104529616724739,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11255,309,470,1339,1658,1669,1755,1744,1316,692,292,11,0 to 119,46,5733,5485,37,11160,95,0,636,7158,99,3350,206,4125,7108,0,22,11138,3999,90,36,0,1737,2344,8,4089,58,134,753,747,677,664,570,282,160,79,1,0 to 105,39,2454,518,223,894,168,2903,1018,164,1,214,2,1,45,4125,2356,1761,4089,36,0,25477,59,29698,25536,4125,45,3695,3150,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},39,41,378,419,0.0978520286396181,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,3150,71,111,437,420,462,468,503,336,195,143,4,0 to 101,46,1633,1480,37,2978,172,0,202,2374,15,1441,160,1466,1683,0,1,2977,1318,27,118,3,642,701,2,1345,19,63,325,234,247,208,205,91,55,18,1,0 to 101,39,1048,84,58,155,270,930,145,190,17,71,3,0,18,1466,758,706,1345,121,0,8565,54,10121,8619,1466,18,804,749,{31CA379B-FB64-4C77-9456-056BCF505A65},39,14,150,164,0.0853658536585366,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4881,62,117,447,886,864,844,716,445,298,200,2,0 to 105,45,1986,2829,66,4851,30,0,49,2887,19,1907,47,2007,2869,0,5,4846,1935,57,14,1,601,1383,8,1992,21,53,187,421,400,360,270,142,86,67,0,0 to 100,43,849,390,94,659,75,835,1082,153,2,104,0,0,47,2007,1392,607,1992,15,0,10335,18,12372,10353,2007,47,1213,1014,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},42,11,292,303,0.0363036303630363,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1876,37,60,167,304,295,309,327,188,130,59,0,0 to 119,47,904,930,42,1863,13,0,48,1248,9,965,16,910,954,0,12,1851,810,90,9,1,305,575,20,900,12,28,91,198,170,156,129,68,46,12,0,0 to 99,42,482,214,26,178,22,512,366,53,2,43,1,0,14,910,579,311,900,10,0,5447,4,6382,5451,910,14,579,523,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},42,14,50,64,0.21875,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4714,70,116,510,529,578,677,860,732,445,192,5,0 to 103,53,2602,2022,90,4536,178,0,241,3430,28,835,140,1296,3384,0,34,4503,1185,31,78,2,614,600,2,1216,18,38,258,176,194,204,202,124,58,24,0,0 to 95,43,812,123,64,217,64,898,254,169,6,76,1,0,11,1296,633,661,1216,80,0,14035,98,15447,14133,1296,11,1324,1318,{4D22D524-13F7-4497-919B-BC6894006209},43,13,243,256,0.05078125,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,605,9,26,64,127,147,89,69,37,30,6,1,0 to 90,39,221,383,1,605,0,0,59,342,3,410,1,419,186,0,0,605,417,2,0,0,116,303,0,419,6,11,45,102,121,68,49,10,5,2,0,0 to 89,38,303,79,22,15,178,218,23,46,0,30,0,0,3,419,303,116,419,0,0,746,0,1166,746,419,3,242,183,{DB14356A-7E77-445A-A524-193DAC2519E8},38,6,8,14,0.428571428571429,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,7310,85,94,471,676,745,1047,1381,1322,885,597,7,0 to 119,58,4169,3072,69,7288,22,0,790,5375,62,1931,45,2340,4954,1,15,7272,2108,226,5,1,1212,1105,17,2334,23,50,250,267,252,344,420,334,230,169,1,0 to 101,54,1783,136,146,269,182,1797,355,248,1,262,1,0,97,2340,1107,1215,2334,6,0,24703,16,27090,24719,2340,97,314,295,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},54,20,521,541,0.0369685767097967,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,19219,222,421,1655,2197,2106,2546,3225,3333,2306,1142,66,0 to 119,56,10556,8381,282,18946,273,0,863,16903,190,2850,118,6604,12598,1,16,18931,6467,83,47,7,3385,2999,166,6550,72,232,1035,1107,967,959,839,632,438,298,25,0 to 104,43,2590,389,548,3023,618,2280,3652,414,18,383,12,2,174,6604,3030,3408,6550,54,0,69534,224,76410,69758,6604,174,1094,989,{63CF7F11-0E2E-4C45-8079-812F07405F88},43,125,2180,2305,0.0542299349240781,2.5144239533088304,0.13745510082611065
