OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
21,21,41,081,MANATEE,Manatee,FL,23748,469,892,2286,2911,2912,3215,3916,3831,2331,871,114,0 to 119,52,13143,10229,376,23411,337,0,2424,18619,177,5673,93,9554,14179,3,12,23396,9371,81,102,0,4914,4390,148,9452,227,604,1533,1682,1530,1399,1176,723,450,219,11,0 to 101,39,4276,896,1292,2988,2444,3358,3650,583,8,675,7,2,242,9554,4439,4964,9452,102,0,77365,267,87250,77632,9554,242,688,589,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,11541,173,370,1214,1427,1681,1936,1904,1549,893,370,24,0 to 101,49,6528,4854,159,11512,29,0,872,8570,130,2169,131,3369,8158,1,13,11498,3234,124,11,0,1840,1506,12,3358,33,111,543,495,533,589,467,306,190,102,0,0 to 100,44,1709,570,277,802,316,2152,890,509,0,232,0,0,61,3369,1511,1846,3358,11,0,32217,18,35624,32235,3369,61,2131,2098,{D8B9952E-371D-460F-96AE-4666BDB4AD84},44,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,2062,68,183,330,372,281,289,247,178,82,32,0,0 to 95,37,1056,979,27,2053,9,0,88,786,2,1265,24,998,1062,1,1,2051,718,273,6,1,462,524,5,991,26,86,177,193,154,152,107,69,26,8,0,0 to 93,35,725,91,112,63,618,303,70,139,3,100,3,1,8,998,529,464,991,7,0,5341,2,6359,5343,998,8,1596,1495,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},35,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,25341,332,645,2212,3468,3451,3702,4054,3942,2497,980,58,0 to 168,51,15382,9868,91,25304,37,0,5897,13363,177,8622,255,6921,18169,1,250,25055,6731,176,13,1,4152,2710,45,6907,85,197,861,1359,1351,1126,907,543,314,146,32,0 to 104,41,4036,1411,541,919,899,4571,1437,899,5,543,0,0,108,6921,2713,4163,6907,14,0,47123,25,54179,47148,6921,108,1775,1610,{76CC1B01-DF08-469D-A322-71F8D05597D9},41,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,28136,335,622,2291,3423,3305,4082,5340,4672,2548,1222,296,0 to 119,54,15649,11893,594,27994,142,0,1827,22676,230,6022,319,8206,19852,0,78,27917,7336,811,53,6,4288,3812,47,8147,117,281,1262,1467,1172,1214,1161,787,455,267,23,0 to 103,43,3748,1066,1616,1717,1413,4527,2207,1024,9,614,7,0,151,8206,3843,4316,8147,59,0,67470,85,75869,67555,8206,151,3120,2498,{3B926974-437E-4986-9BFF-D87D276166F4},43,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1391,28,57,129,186,269,195,212,178,92,44,1,0 to 118,46,678,704,9,1391,0,0,57,740,6,617,8,570,820,0,1,1390,532,38,0,0,191,379,0,570,2,19,53,97,131,92,82,59,28,7,0,2 to 91,43,382,135,14,39,35,482,53,50,0,34,0,0,4,570,379,191,570,0,0,3630,0,4213,3630,570,4,540,485,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},43,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,20616,343,489,1638,2323,2321,2724,3222,3301,2260,778,1217,0 to 103,54,10913,8793,910,20462,154,0,627,18155,222,1637,122,5391,15088,0,137,20327,5289,69,33,0,2739,2521,98,5358,94,209,827,953,850,830,736,473,280,121,18,0 to 103,41,1693,678,1044,1943,808,2166,2384,482,13,301,5,1,75,5391,2540,2752,5358,33,0,61186,124,66788,61310,5391,75,1753,1462,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,2480,57,90,288,321,275,362,436,336,225,86,4,0 to 118,50,1409,1055,16,2475,5,0,179,1540,16,960,18,720,1758,0,2,2473,670,46,1,3,353,361,2,716,16,38,127,113,91,120,95,70,37,10,3,0 to 99,41,357,122,155,82,187,418,111,68,0,45,0,0,5,720,364,354,716,4,0,5705,1,6436,5706,720,5,953,903,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},41,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,5153,34,81,204,291,316,448,693,1716,1109,175,86,0 to 119,68,2637,2369,147,5073,80,0,335,3919,164,1197,132,1410,3721,0,22,5051,1282,120,7,1,692,706,4,1402,6,45,112,114,154,192,197,329,210,50,1,1 to 99,59,764,232,72,334,69,954,379,304,1,185,0,0,44,1410,709,697,1402,8,0,16896,73,18395,16969,1410,44,727,715,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},59,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,23688,365,657,2659,3443,3291,3652,3604,2943,1453,780,841,0 to 119,47,13269,10215,204,23628,60,0,1096,19512,246,3124,162,7323,16305,1,59,23571,7227,69,27,0,3905,3318,73,7296,128,245,1419,1459,1084,1093,807,508,296,281,3,0 to 108,38,2939,803,974,2580,1064,2560,3672,760,5,495,1,0,138,7323,3330,3918,7296,27,0,62399,36,69825,62435,7323,138,2725,2483,{5A9B725E-B5BC-4433-A9C5-F30390148C62},38,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,92606,1661,2398,10367,16096,14644,14451,13393,8976,4305,1709,4606,0 to 120,44,49721,42115,770,91233,1372,1,3761,82846,585,9953,544,32575,59575,3,453,90779,32012,152,406,5,16216,15524,424,32164,511,932,5926,7783,5835,4870,3526,1774,925,414,79,0 to 106,36,7658,4401,5588,14517,5788,7515,18861,1868,53,975,42,6,330,32575,15738,16404,32163,411,1,245634,986,279482,246620,32575,330,3528,3300,{E33D02E5-646C-40C2-B9D7-442237FBB181},36,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,6008,60,158,484,632,598,769,1108,1159,771,252,17,0 to 222,58,3370,2485,153,5996,12,0,363,4004,119,1579,45,1663,4306,1,38,5958,994,665,3,1,871,783,5,1659,13,54,223,202,186,253,319,208,135,62,8,0 to 100,51,1282,105,126,146,87,1360,212,123,0,155,0,0,38,1663,786,872,1659,4,0,17428,8,19110,17436,1663,38,2287,1835,{3C97198A-A027-4923-A8F8-CE1FAFD29127},51,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,6089,107,148,604,821,755,880,1016,794,574,368,22,0 to 102,52,3621,2456,12,6061,28,0,597,4074,66,2350,60,2124,3962,0,3,6058,1802,308,12,2,1174,936,0,2110,28,70,286,333,285,319,298,226,153,108,18,0 to 101,46,1591,233,268,18,388,1684,38,402,2,274,2,1,53,2124,940,1184,2110,14,0,17522,14,19673,17536,2124,53,2438,2387,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},46,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,53383,573,1023,4580,7519,6576,7768,9591,8067,4880,2719,87,0 to 120,53,30295,23020,68,52985,398,0,4926,40747,411,16995,552,18329,35037,1,16,52969,17932,269,121,7,9771,8428,2,18201,245,623,2635,3614,2553,2649,2590,1615,1045,752,8,0 to 104,42,9475,3188,1547,3991,2009,11078,5114,2470,29,1785,22,2,536,18329,8496,9831,18201,128,0,158147,277,176896,158424,18329,536,1269,1177,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},42,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,4013,98,163,463,592,582,551,599,438,292,224,11,0 to 118,46,1956,1992,65,3996,17,0,124,2524,110,1518,37,2152,1859,0,2,3994,1974,161,14,3,769,1358,8,2135,42,103,311,350,365,330,278,177,116,79,1,0 to 102,42,943,295,265,632,383,1013,739,231,2,110,0,0,45,2152,1364,780,2135,17,0,7002,0,9202,7002,2152,45,427,423,{50957D1D-0570-4E74-922C-4AB5F585C01C},42,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,70863,1187,2146,8045,12772,10686,10772,11293,7888,3929,1988,157,0 to 119,45,38551,31386,926,70077,786,0,2579,60704,454,6881,289,24162,46499,13,189,69882,22212,1700,228,22,12570,11126,216,23912,345,994,3869,5512,3986,3562,2902,1716,800,452,24,0 to 103,38,5993,7912,2474,7533,1947,12074,9891,1407,31,750,17,8,212,24162,11260,12684,23912,250,0,190912,552,215844,191464,24162,212,5592,5478,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},37,3.2741145576068362,0.20042527586500067
