OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
30,30,59,117,SEMINOLE,Seminole,FL,18167,235,414,1778,2464,2429,2775,2941,2533,1202,526,870,0 to 119,49,10271,7769,127,18125,42,0,316,17147,246,818,101,2202,15948,1,16,18109,2135,56,11,0,1142,1048,1,2191,28,43,602,519,296,291,186,122,66,49,0,0 to 100,32,1095,206,183,707,368,782,1041,265,5,160,1,0,16,2202,1052,1149,2191,11,0,32077,30,34334,32107,2202,16,883,640,33,32,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,68219,1164,1539,6387,10549,10138,10634,10640,7552,3577,1357,4682,0 to 120,46,37215,30649,355,67096,1122,1,878,65338,585,2431,418,8837,59326,0,56,67043,8570,104,158,5,4084,4540,50,8674,119,192,2084,2391,1454,1186,805,367,178,57,4,0 to 103,32,2317,1150,1597,3610,1450,2037,5187,856,47,437,37,5,56,8837,4638,4148,8673,163,1,118035,957,127949,118992,8837,56,1509,1283,35,32,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,4127,38,75,217,389,369,496,761,931,643,199,9,0 to 222,61,2295,1635,197,4120,7,0,85,3610,119,340,28,264,3860,1,2,4118,176,88,0,0,132,132,0,264,2,5,32,31,22,45,58,37,20,12,0,0 to 97,54,206,12,13,33,26,204,34,36,0,36,0,0,12,264,132,132,264,0,0,9075,6,9348,9081,264,12,1001,546,57,54,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,4024,68,64,328,523,481,586,712,582,420,256,4,0 to 102,54,2428,1575,21,4003,21,0,95,3622,66,298,45,312,3712,0,0,4003,235,70,6,1,154,151,0,305,4,9,53,62,46,47,43,31,13,4,0,0 to 90,39,196,27,15,67,45,162,98,64,2,32,2,1,5,312,153,159,305,7,0,9248,14,9575,9262,312,5,503,452,46,39,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,40752,404,593,2882,5240,4702,5835,7610,6908,4199,2287,92,0 to 120,56,23558,17083,111,40408,344,0,2423,35987,411,5360,390,5713,34972,1,66,40341,5496,145,65,7,3141,2481,19,5641,72,200,946,1314,729,747,639,454,331,271,10,0 to 104,39,2386,1152,246,1857,388,3082,2171,731,19,623,17,2,149,5713,2525,3169,5641,72,0,81925,272,87939,82197,5713,149,636,544,41,39,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2320,63,62,196,312,276,271,370,309,239,212,10,0 to 118,54,1470,774,76,2312,8,0,61,1933,110,624,18,393,1927,0,0,2312,273,112,5,3,238,147,0,385,8,21,52,62,60,50,49,33,34,24,0,0 to 102,44,202,54,71,58,133,191,61,56,1,55,0,0,20,393,150,243,385,8,0,3279,0,3675,3279,393,20,66,62,47,44,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,51021,819,1098,4847,8497,7480,7783,8919,6496,3306,1653,123,-6 to 119,48,27996,22278,747,50396,625,0,840,47765,454,2616,220,4848,46116,10,47,50339,4471,280,86,11,2375,2369,7,4751,64,135,860,1294,829,627,534,291,135,76,3,0 to 101,35,1581,1310,530,1330,575,2662,1514,518,22,339,11,3,64,4848,2419,2420,4751,97,0,88653,528,94112,89181,4848,64,2338,2221,39,35,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,364,6,1,44,46,40,36,40,50,56,44,1,0 to 119,57,231,126,7,364,0,0,12,331,0,23,1,31,333,0,0,364,25,6,0,0,15,16,0,31,1,1,4,8,2,4,4,4,1,2,0,3 to 98,36,23,5,0,3,4,24,3,5,0,3,0,0,0,31,16,15,31,0,0,500,0,532,500,31,0,18,18,46,36,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,626,11,15,39,57,65,105,128,122,65,19,0,0 to 94,56,367,256,3,569,57,0,19,583,1,65,13,22,604,0,0,569,16,3,3,0,10,9,0,19,0,1,3,2,2,6,5,3,0,0,0,9 to 70,48,12,4,2,1,2,16,1,6,1,1,1,0,0,22,11,11,19,3,0,1335,54,1411,1389,22,0,57,54,48,48,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1190,11,19,62,79,110,139,405,278,73,14,0,0 to 118,59,326,857,7,1190,0,0,18,1141,4,89,4,58,1130,0,2,1188,54,4,0,0,12,46,0,58,0,2,7,7,2,4,22,12,2,0,0,9 to 80,59,35,18,2,3,2,50,6,10,0,10,0,0,2,58,46,12,58,0,0,2182,0,2240,2182,58,2,76,74,61,59,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1502,21,29,123,194,174,224,291,190,146,103,7,0 to 118,54,937,540,25,1500,2,0,32,1401,34,173,2,80,1421,0,1,1499,37,43,0,0,57,23,0,80,1,5,9,8,12,9,6,7,12,11,0,1 to 107,50,60,16,3,1,6,70,4,13,0,13,0,0,2,80,23,57,80,0,0,2446,2,2531,2448,80,2,205,173,62,50,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1267,14,29,91,138,170,216,245,216,108,39,1,0 to 102,53,718,539,10,1263,4,0,13,1195,13,199,5,47,1219,0,1,1262,28,17,2,0,28,17,0,45,1,0,7,6,6,13,6,5,2,1,0,3 to 86,46,26,13,3,3,1,41,3,8,0,6,0,0,1,47,17,30,45,2,0,1999,2,2049,2001,47,1,117,42,46,46,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,20397,267,374,1306,2072,2241,2840,4489,3986,2111,559,152,0 to 119,57,11539,8752,106,20375,22,0,305,19430,107,1151,98,1547,18847,0,3,20372,1469,62,14,2,779,750,2,1531,23,45,322,317,245,213,190,108,48,32,4,0 to 99,37,925,108,100,398,302,810,419,212,3,107,3,0,17,1547,757,788,1531,16,0,40015,6,41572,40021,1547,17,912,854,42,37,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,20390,478,556,1668,2681,2701,2919,3235,3056,1949,807,340,0 to 119,51,11738,8467,185,20295,95,0,478,18190,231,1881,146,3182,17191,1,16,20278,2910,256,15,1,1749,1413,4,3166,50,106,478,578,544,446,381,266,206,126,1,0 to 103,41,1584,457,331,794,812,1432,922,677,9,454,5,1,92,3182,1420,1758,3166,16,0,39574,79,42853,39653,3182,92,1598,1028,46,41,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,14219,189,378,1093,2054,2040,2342,2388,1799,899,325,712,0 to 155,49,7920,6226,73,14139,80,0,661,12447,390,1322,217,1649,12515,2,53,14085,1560,37,50,2,802,794,1,1597,29,45,247,389,245,284,198,113,77,20,2,0 to 102,38,683,126,589,199,863,418,316,350,8,187,7,2,24,1649,830,817,1597,52,0,22720,27,24429,22747,1649,24,1193,681,44,38,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,3967,62,62,201,426,383,466,627,729,632,359,20,0 to 119,61,2371,1557,39,3901,66,0,70,3640,47,281,26,373,3587,0,7,3894,331,39,3,0,165,204,1,370,9,11,40,60,69,57,63,32,27,5,0,0 to 91,44,186,56,48,80,108,172,90,65,1,57,1,0,11,373,207,165,370,3,0,7519,63,7961,7582,373,11,377,262,51,44,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,28463,341,460,2221,3455,3560,4017,4723,4899,3262,1468,57,0 to 119,55,16289,11933,241,27473,989,1,690,25027,613,3006,177,4956,23480,1,26,27447,4665,175,110,6,2527,2290,23,4840,73,128,746,891,779,753,597,432,310,245,2,0 to 101,43,2555,601,130,1554,1440,1805,1595,954,15,574,13,4,152,4956,2354,2577,4839,116,1,48413,873,54257,49286,4956,152,2690,1083,46,43,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,17249,372,649,1670,2015,2157,2238,2535,2761,2111,703,38,0 to 105,52,9250,7916,83,16884,365,0,506,13975,356,3013,168,3966,13187,3,93,16788,3575,305,70,16,1896,1978,6,3880,107,209,710,657,677,556,466,280,205,97,2,0 to 101,38,2032,184,322,1342,1898,840,1142,494,20,315,11,6,70,3966,2031,1929,3880,86,0,28228,279,32487,28507,3966,70,3612,2625,40,38,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,168234,1844,2760,13245,27002,26795,30523,28672,19392,10993,6346,662,0 to 225,49,87713,79365,1156,166739,1494,1,4211,150764,2785,18222,1008,31562,136419,100,153,166488,30203,833,517,9,15438,15573,25,31036,317,623,3211,5680,5118,5613,4699,3006,1838,1400,57,0 to 108,46,15525,4500,1383,9628,15673,5841,9522,6650,49,3917,31,15,947,31562,15843,15678,31035,526,1,258985,967,291773,259952,31562,947,5168,4428,47,46,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,3803,29,62,240,464,514,647,833,611,294,108,1,0 to 101,54,1993,1799,11,3718,85,0,1298,2058,83,847,130,204,3557,0,42,3680,168,20,12,4,82,106,0,188,2,7,18,25,30,35,29,28,18,12,0,3 to 100,51,138,7,4,39,53,89,46,36,3,19,2,0,4,204,116,88,188,16,0,4911,64,5179,4975,204,4,667,389,54,51,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7141,230,266,613,948,996,1062,1180,1050,547,239,10,0 to 119,50,3922,3192,27,7073,68,0,116,6647,99,364,86,442,6697,1,1,7071,396,40,6,0,181,255,0,436,4,4,100,81,68,70,54,36,15,10,0,0 to 98,39,337,49,11,39,25,350,61,35,0,28,0,0,9,442,256,186,436,6,0,11611,62,12117,11673,442,9,1078,531,41,39,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,1709,53,44,114,180,224,250,299,251,159,132,3,0 to 101,54,946,726,37,1640,69,0,37,1528,15,232,50,210,1498,0,1,1639,158,23,26,3,98,83,0,181,6,11,24,24,40,25,38,22,14,6,0,0 to 101,45,162,12,5,2,49,125,7,32,7,24,2,0,9,210,94,116,181,29,0,2979,40,3234,3019,210,9,155,100,46,45,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,3087,32,37,259,524,525,537,483,310,233,141,6,0 to 105,48,1394,1601,92,3064,23,0,18,2626,19,346,30,353,2728,1,5,3058,306,38,8,1,87,257,0,344,3,8,35,85,80,65,54,16,6,1,0,0 to 87,40,150,138,20,36,29,205,110,42,2,26,0,0,2,353,261,92,344,9,0,4690,14,5066,4704,353,2,494,294,40,40,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,924,12,16,60,98,113,148,195,128,99,55,0,0 to 119,55,545,357,22,918,6,0,33,746,9,146,14,106,815,0,3,915,85,19,2,0,55,49,0,104,0,2,5,13,11,13,22,17,16,7,0,9 to 99,58,75,21,1,7,1,95,8,11,0,20,0,0,12,106,49,57,104,2,0,1688,4,1799,1692,106,12,146,88,59,58,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,3339,46,54,252,342,392,453,632,609,383,172,4,0 to 103,56,1802,1344,193,3230,109,0,59,3153,28,117,37,158,3172,0,9,3221,128,22,6,2,73,77,0,150,2,2,32,26,34,15,15,21,7,4,0,1 to 89,41,98,20,3,29,1,118,31,33,1,17,0,0,1,158,80,78,150,8,0,6291,101,6553,6392,158,1,186,180,43,41,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,318,4,12,40,67,68,35,32,30,23,6,1,1 to 90,39,130,186,2,318,0,0,27,210,3,146,0,158,160,0,0,318,156,2,0,0,36,122,0,158,1,3,24,48,45,18,12,5,1,1,0,3 to 89,36,122,18,4,14,102,42,14,18,0,14,0,0,1,158,122,36,158,0,0,454,0,612,454,158,1,144,85,37,36,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,5630,64,53,273,472,543,776,1076,1068,749,550,6,0 to 119,60,3309,2253,68,5611,19,0,190,5004,62,643,24,687,4939,1,3,5607,531,153,2,1,404,277,3,684,8,9,48,71,51,84,120,97,94,105,0,0 to 101,61,545,58,16,65,45,558,81,116,1,142,1,0,76,687,279,405,684,3,0,10803,16,11509,10819,687,76,102,83,63,61,3.8321805931522803,0.16585624394389412
