OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
58,58,14,027,DESOTO,Desoto,FL,4143,108,316,470,622,624,664,654,388,209,84,4,0 to 102,43,1748,2291,104,4129,14,0,307,2309,48,1736,45,1760,2374,1,8,4120,1615,141,4,0,731,1017,8,1756,44,145,248,327,313,263,219,119,60,22,0,0 to 97,38,1080,187,137,352,765,585,406,271,1,143,1,1,31,1760,1019,733,1756,4,0,10581,10,12357,10591,1760,31,1964,1829,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},19,54,73,0.26027397260274,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,6731,118,255,585,718,814,950,1212,1118,686,270,5,0 to 119,54,3840,2846,45,6681,50,0,618,4055,37,2209,110,2337,4383,0,11,6670,2116,202,18,1,1255,1058,5,2318,31,128,297,298,293,348,382,314,194,51,1,0 to 96,48,1389,326,404,199,311,1763,244,268,8,176,4,1,40,2337,1067,1265,2318,19,0,22833,31,25221,22864,2337,40,3152,3117,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},12,220,232,0.0517241379310345,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,4570,172,357,685,782,721,639,564,323,191,129,7,0 to 104,38,2248,2315,7,4563,7,0,535,1845,32,2145,56,2323,2244,1,2,4560,2260,58,5,0,1084,1233,1,2318,67,171,370,445,410,337,257,146,78,42,0,0 to 100,37,1815,268,111,124,1504,715,99,379,0,217,0,0,44,2323,1236,1086,2318,5,0,9301,2,11646,9303,2323,44,3664,3238,{71664F0E-3199-410F-AD8C-5269FFA55669},11,25,36,0.305555555555556,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,11122,229,586,1260,1189,1172,1403,1659,1665,1118,837,4,0 to 119,53,6471,4614,37,11028,94,0,803,6060,77,5297,215,4323,6741,0,58,10972,4248,38,35,2,2313,1957,16,4286,74,216,697,614,550,595,576,483,303,215,0,0 to 105,45,2575,466,391,854,846,2442,998,679,9,379,4,0,126,4323,1980,2327,4286,37,0,41974,64,46386,42038,4323,126,4767,4297,{193731CA-A50A-4707-8EB3-D6585D669C9C},47,620,667,0.0704647676161919,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,201836,5390,11838,22431,32166,31589,32942,31088,19051,9819,5278,244,0 to 119,44,108013,92807,1016,199742,2094,0,16826,113817,2336,92612,2974,92658,108957,31,190,199526,83283,8509,795,70,47531,44114,147,91792,1946,5323,13796,17846,15995,14916,12141,6113,2954,1591,36,0 to 107,39,41651,22581,13422,14138,35588,42881,13323,11309,120,6378,88,29,1570,92657,44652,47855,91792,865,0,617214,1241,712000,618455,92657,1570,57315,56947,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},520,6438,6958,0.0747341189997126,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,30830,629,993,3731,4824,4020,4148,4998,3948,2258,1192,89,0 to 119,48,17312,13375,143,26754,4076,0,2031,23125,183,7442,523,14748,16072,1,9,26744,13033,164,1551,0,6772,6319,106,13197,197,542,2491,2755,2180,1955,1978,1375,845,418,12,0 to 105,40,5549,2753,1634,3261,444,8987,3766,1478,27,957,20,22,284,14748,6999,7643,13197,1551,0,94673,2613,112095,97286,14748,284,1566,1487,{3780C858-9510-4A33-A345-0ACD39C89BB6},115,982,1097,0.104831358249772,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,3623,112,246,566,491,500,470,511,314,246,159,8,0 to 119,42,1902,1706,15,3610,13,0,585,1449,2,1670,40,1847,1771,1,4,3605,1685,157,4,1,871,970,1,1842,43,131,311,279,308,259,258,125,93,40,0,0 to 100,40,1305,224,202,111,698,1039,105,260,1,197,2,0,43,1847,972,874,1842,5,0,10935,7,12803,10942,1847,43,2302,2221,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},14,150,164,0.0853658536585366,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,1657,45,146,194,243,226,213,268,195,107,20,0,0 to 95,43,752,903,2,1647,10,0,65,557,0,951,42,805,846,0,6,1641,721,77,4,3,260,538,0,798,12,43,92,176,143,124,126,52,33,4,0,0 to 87,40,523,233,22,20,67,654,77,27,0,10,0,0,4,805,540,265,798,7,0,4884,3,5704,4887,805,4,667,666,{9F12DFF3-9143-493B-867B-127F2B6BFF20},2,45,47,0.0425531914893617,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,26438,413,679,6836,4477,3272,3126,3302,2424,1155,686,68,0 to 119,37,14887,11416,135,26087,351,0,3555,18122,61,9151,334,11554,14824,4,56,26027,11158,289,95,12,6224,5205,18,11447,161,401,5194,1811,1072,983,863,620,292,153,4,0 to 103,24,6065,2497,1206,1679,1511,8060,1876,1243,25,549,28,3,84,11554,5267,6268,11447,107,0,106703,250,118543,106953,11554,84,1730,1707,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},94,1693,1787,0.0526021264689424,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,20251,380,1536,3163,2152,2825,3119,2994,2338,1183,542,19,0 to 119,45,10914,9213,124,20097,154,0,1686,10876,208,7551,582,7304,12906,12,29,20057,6738,432,128,6,3755,3413,2,7170,85,337,1585,949,1105,1137,1030,606,315,155,0,0 to 101,41,5284,514,497,875,606,5524,1040,534,5,351,5,0,88,7304,3478,3820,7170,134,0,65548,552,73455,66100,7304,88,10833,10794,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},87,691,778,0.111825192802057,3.2463364568121142,0.15487996912821236
69,68,999,999,Unknown,Unknown,FL,3176,26,98,480,485,462,469,422,243,236,239,16,0 to 119,45,1748,1384,44,278,2898,0,19,3053,0,46,73,2057,1117,0,2,278,148,1,1898,10,78,69,2,149,25,94,420,365,318,314,272,135,72,28,14,0 to 82,32,26,26,41,56,36,58,55,0,8,0,6,6,0,2057,1049,969,149,1908,0,19388,985,22474,20373,2057,0,833,831,{D1373507-E2BB-431D-A2F9-63F6067C627A},2,289,291,0.00687285223367698,0,0
70,69,998,998,A State,State,FL,1782945,34284,76469,218557,274004,257891,273891,270862,199763,114422,56456,6346,0 to 225,46,957157,813327,12461,1759158,23779,8,155480,1175403,0,566128,21181,863623,913943,367,5012,1753828,818566,33259,11448,346,438198,409284,4343,851825,14454,38970,141867,157214,136218,134077,112090,67727,38599,21326,1077,0 to 110,40,413829,125252,116302,196442,252444,380531,218850,85029,957,51272,620,213,17372,863619,415198,443881,851817,11794,8,5641888,12798,6525740,5654686,863619,17372,397199,384342,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},5534,70023,75557,5.35260817122852,0,0
