OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,743,19,17,49,74,104,111,142,135,70,21,1,0 to 101,54,416,323,4,736,7,0,27,559,41,207,13,177,565,0,1,735,131,42,4,0,78,95,0,173,4,3,22,26,28,31,28,19,8,8,0,0 to 95,47,76,80,11,6,12,151,10,29,2,21,0,0,5,177,98,79,173,4,0,1911,3,2093,1914,177,5,176,138,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1622,79,91,182,205,212,237,225,211,117,57,6,0 to 99,47,1002,613,7,1594,28,0,73,1019,53,692,40,553,1066,0,3,1591,350,194,9,0,320,222,2,544,29,43,78,83,77,95,75,40,14,19,0,0 to 98,40,131,365,29,19,31,452,61,99,0,24,0,1,6,553,224,327,544,9,0,4085,19,4668,4104,553,6,687,587,40,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2365,6,14,200,712,578,422,285,101,32,7,8,0 to 105,38,249,2109,7,2365,0,0,7,2015,1,176,6,339,2026,0,0,2365,335,4,0,0,52,286,1,339,2,5,50,78,66,74,50,11,2,1,0,0 to 85,39,205,109,10,15,16,225,98,14,0,6,0,0,2,339,286,52,339,0,0,2603,0,2943,2603,339,2,240,215,40,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2235,33,53,214,576,443,349,259,183,78,44,3,0 to 118,40,589,1628,18,2227,8,0,64,1906,9,547,12,560,1674,0,1,2226,493,62,4,1,202,353,0,555,22,36,85,128,94,87,64,29,12,3,0,0 to 90,35,237,273,37,8,89,311,155,77,1,18,0,0,2,560,356,204,555,5,0,3245,3,3810,3248,560,2,47,45,35,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,6039,74,85,653,987,940,1013,978,662,376,216,55,0 to 119,47,3158,2824,57,5961,78,0,469,4884,28,1568,118,3026,3006,0,7,5954,2831,136,57,2,1431,1526,10,2967,40,53,471,638,546,513,383,238,105,39,0,0 to 98,40,1676,306,149,836,284,1652,1031,241,11,95,4,4,15,3026,1559,1457,2967,59,0,18106,25,21188,18131,3026,15,198,191,40,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,5335,118,153,423,765,842,809,959,696,345,215,10,0 to 119,49,2348,2910,77,5315,20,0,470,3209,63,2041,21,2203,3127,0,5,5310,2028,168,5,2,537,1655,4,2196,41,62,214,412,460,397,335,175,77,29,1,0 to 99,42,726,360,94,1016,95,899,1202,17,0,88,0,0,10,2203,1661,538,2196,7,0,9367,13,11635,9380,2203,10,50,48,43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,1208,38,27,154,190,186,187,188,122,81,33,2,0 to 99,45,673,510,25,1149,59,0,109,878,16,329,7,310,885,0,13,1136,229,81,0,0,151,155,4,310,4,9,52,53,58,45,44,21,20,4,0,1 to 97,41,203,56,28,23,9,266,35,43,0,25,0,0,4,310,155,151,310,0,0,3650,58,4019,3708,310,4,361,360,41,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1190,19,31,117,179,168,202,192,174,79,28,1,0 to 119,49,580,595,15,1172,18,0,35,813,5,328,35,384,805,0,1,1171,320,55,6,3,114,260,1,375,5,7,53,88,74,69,42,27,13,6,0,1 to 93,39,232,81,27,35,20,282,73,19,0,9,0,0,1,384,263,120,375,9,0,3404,9,3806,3413,384,1,389,383,39,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,9725,204,328,896,1129,1218,1279,1589,1519,1075,465,23,0 to 100,53,4861,4452,412,9622,103,0,763,6825,82,2970,98,3451,6227,1,46,9576,3410,19,22,0,1634,1775,20,3429,103,199,553,601,580,529,364,227,172,120,3,0 to 100,39,1423,186,982,838,1706,1080,643,532,4,300,3,1,65,3451,1789,1642,3429,22,0,19975,78,23537,20053,3451,65,1765,1754,39,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,77213,1784,2640,8759,13144,11565,11836,11674,8558,4568,2120,565,0 to 119,45,43125,33596,492,76752,461,0,2753,67323,458,7774,413,27483,49541,22,167,76563,26871,493,116,3,14459,12683,222,27364,580,1209,4787,5991,4390,4065,3026,1606,898,478,453,0 to 104,36,8791,3457,3313,11803,6222,7661,13481,2101,15,1159,11,4,298,27483,12733,14528,27364,119,0,181092,341,209227,181433,27483,298,5539,5192,36,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,22120,417,775,2031,2649,2666,2987,3701,3688,2261,837,108,0 to 119,53,12254,9481,385,21798,322,0,1582,18707,177,3615,62,7982,14129,3,6,21789,7826,70,86,0,4070,3684,142,7896,182,498,1281,1429,1301,1178,966,580,376,186,5,0 to 101,39,3106,645,780,3365,1704,2229,3963,354,6,474,4,2,156,7982,3724,4112,7896,86,0,66598,234,74855,66832,7982,156,565,467,39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,10553,159,321,1039,1326,1514,1736,1765,1475,847,350,21,0 to 101,50,6018,4417,118,10526,27,0,561,8583,130,1675,101,2577,7959,1,16,10509,2448,120,9,0,1412,1148,8,2568,23,91,413,406,403,428,352,240,141,80,0,0 to 100,43,1225,427,202,714,242,1536,790,373,0,172,0,0,47,2577,1152,1417,2568,9,0,27778,18,30388,27796,2577,47,1554,1521,43,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1778,61,163,282,329,228,237,207,162,80,29,0,0 to 94,37,960,793,25,1770,8,0,70,715,2,981,17,789,988,1,0,1769,537,246,5,1,399,379,5,783,24,82,143,163,110,108,72,56,24,7,0,0 to 93,33,579,75,94,35,533,212,38,117,3,64,3,1,5,789,383,401,783,6,0,3322,2,4116,3324,789,5,1375,1274,33,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,20447,266,470,1668,2593,2541,2914,3368,3465,2253,880,29,0 to 168,54,12345,8035,67,20414,33,0,5294,12279,177,5713,237,3581,16382,0,484,19932,3464,108,8,1,2001,1547,24,3572,57,120,521,663,618,522,491,316,198,73,2,0 to 99,41,2075,574,294,629,499,2189,884,541,4,333,0,0,50,3581,1548,2009,3572,9,0,36127,21,39756,36148,3581,50,1547,1382,41,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,25994,271,542,1997,3095,2975,3759,5006,4467,2429,1172,281,0 to 119,55,14517,10888,589,25864,130,0,1069,22539,230,3665,234,6341,19627,0,26,25839,5644,650,41,6,3336,2932,26,6294,88,232,991,1172,877,938,877,607,340,212,7,0 to 103,42,2618,804,1260,1612,956,3239,2099,751,7,448,5,0,100,6341,2955,3360,6294,47,0,56792,82,63286,56874,6341,100,2280,1658,42,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1017,24,45,91,122,166,126,159,152,88,43,1,0 to 118,50,609,397,11,1017,0,0,41,735,6,235,6,231,786,0,0,1017,195,36,0,0,135,95,1,231,0,13,27,36,33,27,32,33,24,6,0,6 to 91,47,173,19,3,36,3,183,45,35,0,24,0,0,4,231,95,135,231,0,0,2029,0,2263,2029,231,4,366,311,47,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,19147,311,405,1423,2109,2086,2501,3018,3167,2191,723,1213,0 to 103,55,10157,8052,938,18993,154,0,285,17620,222,1096,111,4169,14936,0,42,18953,4077,60,32,0,2133,1940,64,4137,78,151,653,776,650,638,566,360,223,66,8,0 to 103,41,1158,466,621,1892,491,1440,2206,316,13,200,5,1,48,4169,1958,2147,4137,32,0,52212,120,56561,52332,4169,48,1343,1052,41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,2172,45,59,235,277,237,310,408,305,210,84,2,0 to 118,52,1247,908,17,2168,4,0,98,1532,16,627,11,474,1698,0,0,2168,433,38,0,3,225,244,2,471,8,20,88,78,61,75,71,40,23,9,1,0 to 99,41,201,57,133,80,163,219,89,47,0,27,0,0,2,474,246,226,471,3,0,4857,1,5340,4858,474,2,694,644,41,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,4685,31,51,162,237,255,381,631,1631,1055,166,85,0 to 119,68,2352,2175,158,4605,80,0,290,3806,164,840,88,1003,3659,0,23,4582,915,80,7,1,447,544,4,995,2,21,73,68,102,126,142,261,166,42,0,4 to 99,63,580,152,51,212,55,700,240,224,1,139,0,0,27,1003,547,452,995,8,0,14490,72,15579,14562,1003,27,500,488,63,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,22310,323,571,2479,3223,3071,3428,3436,2828,1390,706,855,0 to 119,48,12500,9599,211,22254,56,0,800,19465,246,1970,134,6116,16150,1,43,22212,6026,66,24,0,3236,2782,74,6092,98,178,1261,1262,902,904,657,403,241,204,6,0 to 104,37,2321,630,668,2473,722,1757,3613,558,5,346,1,0,68,6116,2792,3247,6092,24,0,54242,30,60450,54272,6116,68,2025,1783,37,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,87164,1522,2145,9587,15100,13575,13565,12752,8616,4104,1600,4598,0 to 120,44,46863,39674,627,85837,1326,1,1980,80987,585,6520,473,27393,59401,0,370,85469,26889,137,362,5,13497,13216,313,27026,411,713,5187,6824,4819,4035,2917,1421,721,320,25,0 to 106,35,5945,3513,4158,13410,3654,5260,18112,1406,51,735,40,5,174,27393,13410,13663,27025,367,1,211905,957,240520,212862,27393,174,2832,2604,35,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,5301,56,120,404,563,511,673,961,1066,714,225,8,0 to 222,58,2963,2187,151,5292,9,0,254,3840,119,1047,40,1102,4187,1,11,5281,656,444,2,0,558,541,1,1100,12,30,163,146,124,169,201,131,90,36,0,0 to 100,50,845,75,69,111,59,872,169,75,0,99,0,0,20,1102,542,559,1100,2,0,14852,6,15971,14858,1102,20,1906,1453,50,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,5362,96,116,522,734,670,777,908,710,519,306,4,0 to 102,52,3192,2157,13,5334,28,0,466,3887,66,1638,55,1490,3870,1,1,5332,1224,252,12,2,804,672,0,1476,21,50,219,254,210,224,208,152,104,48,0,0 to 100,44,989,142,143,202,220,897,359,285,2,163,2,1,22,1490,676,814,1476,14,0,14902,14,16412,14916,1490,22,1672,1621,44,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,50376,541,911,4254,7047,6118,7297,9102,7744,4697,2574,91,0 to 120,53,28684,21546,146,49992,384,0,4137,40303,411,12905,503,15339,35013,1,23,49968,15034,190,108,7,8179,6974,71,15224,211,515,2318,3144,2119,2191,2113,1280,849,588,11,0 to 104,41,7221,2579,1095,4329,1446,8626,5152,1783,23,1331,20,2,378,15339,7034,8232,15224,115,0,137284,267,153004,137551,15339,378,1153,1061,41,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2938,88,131,312,388,382,362,432,351,263,218,11,0 to 118,49,1789,1079,70,2921,17,0,108,2037,110,999,25,1024,1911,0,3,2918,868,139,14,3,564,435,8,1007,35,79,167,141,165,138,111,81,69,37,1,0 to 102,40,519,142,199,147,311,504,192,161,2,84,0,0,27,1024,441,575,1007,17,0,5458,0,6493,5458,1024,27,267,263,40,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,66187,1068,1863,7449,11909,9972,10050,10650,7458,3745,1889,134,-6 to 119,45,36001,29420,766,65445,742,0,1701,58855,454,5323,255,20001,46047,11,128,65311,18375,1416,193,17,10320,9349,122,19791,267,784,3357,4751,3345,2912,2295,1303,623,355,9,0 to 102,37,4723,6324,1854,6890,1599,9339,8853,1042,27,571,14,5,143,20001,9465,10412,19791,210,0,165389,520,186121,165909,20001,143,4720,4606,37,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,413,8,4,49,55,43,43,50,57,58,45,1,0 to 119,56,259,146,8,413,0,0,13,339,0,42,1,83,330,0,0,413,76,7,0,0,44,37,2,83,3,4,9,18,5,13,14,11,3,3,0,1 to 98,47,45,14,13,11,13,58,12,19,0,7,0,0,0,83,37,44,83,0,0,730,0,816,730,83,0,58,58,47,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,908,17,45,80,99,100,157,176,144,70,20,0,0 to 94,52,512,393,3,846,62,0,59,599,1,210,21,249,659,0,0,846,237,3,9,0,133,107,0,240,4,14,35,30,38,51,44,27,4,2,0,1 to 89,46,144,81,4,11,16,207,17,56,2,14,2,0,0,249,114,135,240,9,0,2751,53,3057,2804,249,0,358,354,45,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1382,15,31,95,99,138,171,446,298,74,15,0,0 to 118,58,397,979,6,1382,0,0,59,1173,4,253,5,234,1148,0,0,1382,168,66,0,0,74,160,0,234,4,8,35,29,27,31,64,32,3,1,0,0 to 89,50,141,51,6,36,7,177,50,22,0,15,0,0,4,234,160,74,234,0,0,2890,0,3125,2890,234,4,269,267,50,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1680,32,42,160,214,200,251,314,199,158,104,6,0 to 118,52,1049,610,21,1678,2,0,85,1379,34,320,2,236,1443,0,1,1677,150,86,0,0,148,88,0,236,6,10,38,30,38,37,25,15,24,13,0,0 to 107,44,155,68,11,2,6,227,3,35,0,24,0,0,3,236,88,148,236,0,0,3578,2,3819,3580,236,3,481,449,44,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,1830,24,56,164,244,281,319,330,245,124,42,1,0 to 102,50,914,907,9,1824,6,0,49,1249,13,566,28,515,1313,0,2,1822,475,36,3,1,170,340,1,511,3,16,65,99,105,96,85,27,15,4,0,2 to 86,42,308,138,32,33,35,416,60,53,0,22,0,0,1,515,342,172,511,4,0,6325,2,6878,6327,515,1,469,394,42,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,23955,298,464,1932,2677,2739,3365,5011,4301,2309,712,147,0 to 119,55,13430,10404,121,23929,26,0,1145,21127,107,3951,135,5069,18879,1,6,23922,4946,103,17,3,2658,2363,28,5049,52,128,956,921,736,733,696,412,245,189,1,0 to 105,41,2597,481,414,1557,674,2645,1730,694,6,350,3,0,65,5069,2372,2669,5049,20,0,70358,6,75493,70364,5069,65,1344,1286,40,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,29068,680,1071,3005,4389,4256,4234,4215,3668,2248,968,334,0 to 119,47,16149,12599,320,28951,117,0,1462,23991,231,4873,211,11717,17313,1,37,28913,10449,1229,30,9,6103,5411,164,11678,228,570,1785,2254,2080,1731,1355,887,528,296,3,0 to 103,39,5226,1970,1032,3450,2767,4451,4460,1388,11,951,8,1,220,11717,5426,6127,11678,39,0,71727,76,83588,71803,11717,220,3747,3177,39,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,20429,269,683,2042,3354,3266,3446,3020,2188,1085,399,677,0 to 155,45,11130,9110,189,20320,109,0,1847,16168,390,2987,230,7728,12626,2,73,20246,7594,53,79,2,3922,3605,120,7647,102,296,1153,1674,1428,1355,827,519,272,97,5,0 to 102,39,2138,360,2009,3140,2682,1118,3847,612,10,308,8,2,53,7728,3658,3947,7647,81,0,46350,27,54231,46377,7728,53,2582,2071,39,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,4763,83,108,297,553,481,573,735,810,708,395,20,0 to 119,59,2803,1924,36,4697,66,0,152,3920,47,841,41,1068,3687,0,8,4689,962,103,3,0,559,503,3,1065,20,38,124,176,150,154,164,108,95,39,0,0 to 96,47,577,188,153,147,292,563,210,218,2,125,1,0,22,1068,506,559,1065,3,0,13072,63,14211,13135,1068,22,1106,992,47,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,38188,527,848,3803,5313,5192,5574,5969,5607,3619,1672,64,0 to 119,51,21381,16456,351,37044,1143,1,1379,32428,613,7282,230,14540,23625,2,21,37022,13732,535,267,6,7439,6640,188,14267,252,496,2300,2733,2365,2306,1799,1119,688,473,9,0 to 101,41,5873,1322,553,6519,3228,4293,6746,1658,19,890,16,6,259,14540,6780,7565,14266,273,1,87828,869,103272,88697,14540,259,3539,1938,41,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,22570,560,947,2566,2889,3039,3126,3198,3124,2301,781,39,0 to 105,49,11980,10428,162,22190,380,0,1099,16786,356,5516,211,8870,13526,3,171,22016,8388,381,85,16,4445,4286,38,8769,240,466,1548,1487,1506,1400,1064,605,381,172,1,0 to 101,39,4127,500,761,3381,3449,1964,3356,957,22,605,12,6,118,8870,4343,4484,8769,101,0,46757,279,55967,47036,8870,118,5429,4448,39,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,241982,3069,5365,23461,41444,39551,43773,38563,24676,13761,7573,746,0 to 225,46,125204,115129,1649,240149,1832,1,6953,214073,2785,26395,1116,107315,134359,91,217,239843,105145,1300,861,9,53609,52188,648,106445,1498,3152,13529,20577,18232,19315,14874,8482,4765,2749,142,0 to 108,43,36240,9879,7077,53249,39915,12438,54092,9952,61,5190,33,16,1404,107315,52617,53987,106444,870,1,469342,953,578947,470295,107315,1404,8941,8202,43,5.083999884705762,0.45963940749256754
49,49,44,087,MONROE,Monroe,FL,5107,82,118,407,738,731,870,1000,715,333,111,2,0 to 101,50,2627,2457,23,5012,95,0,1453,2453,83,1324,146,1145,3928,0,34,4980,1093,26,21,5,519,596,4,1119,26,41,137,227,199,201,145,106,48,15,0,0 to 100,42,595,45,31,448,318,349,452,165,6,69,5,1,6,1145,612,529,1119,26,0,9783,66,11002,9849,1145,6,2159,1882,42,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,9766,291,400,1171,1390,1399,1492,1505,1216,623,269,10,0 to 119,46,5133,4578,55,9686,80,0,400,7603,99,1655,155,2789,6972,0,5,9681,2698,72,19,0,1214,1529,27,2770,47,93,605,495,430,437,348,195,92,47,0,0 to 101,38,1485,164,128,993,66,1617,1087,114,0,145,1,0,19,2789,1535,1227,2770,19,0,20697,60,23573,20757,2789,19,2926,2382,38,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,2691,63,83,359,360,382,391,425,303,184,138,3,0 to 101,47,1421,1236,34,2546,145,0,118,2202,15,1039,123,1066,1624,0,1,2545,946,26,91,3,466,505,1,972,15,41,249,177,174,142,151,61,44,12,0,0 to 101,38,792,57,29,94,205,679,88,120,14,50,2,0,12,1066,547,518,972,94,0,6927,52,8080,6979,1066,12,527,472,38,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4143,51,90,392,710,704,707,604,403,286,189,7,0 to 105,46,1818,2240,85,4115,28,0,22,2998,19,1031,44,1270,2866,1,6,4108,1205,51,13,1,433,811,12,1256,12,36,137,249,239,229,161,96,60,50,1,0 to 100,43,566,299,51,340,52,615,589,130,2,82,0,0,19,1270,818,439,1256,14,0,7727,14,9023,7741,1270,19,1053,854,43,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1320,19,38,121,157,168,214,261,163,120,59,0,0 to 119,52,759,521,40,1311,9,0,47,919,9,422,15,437,879,0,4,1307,360,72,5,0,219,190,23,432,5,17,59,64,55,70,71,48,36,12,0,0 to 99,48,202,71,16,143,5,261,166,31,0,30,0,0,13,437,192,222,432,5,0,3307,4,3750,3311,437,13,382,324,48,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4326,63,100,438,490,533,618,777,695,420,188,4,0 to 103,53,2357,1825,144,4180,146,0,191,3399,28,625,99,967,3338,0,21,4160,891,29,45,2,465,454,1,920,15,26,197,145,152,150,133,94,35,20,0,0 to 95,42,565,93,48,214,44,639,237,125,2,53,0,0,8,967,473,493,920,47,0,12027,98,13111,12125,967,8,1086,1080,41,3.7594213077324343,0.1544196859093086
