OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,1289,30,50,115,164,178,204,241,188,91,27,1,0 to 101,50,591,696,2,1274,15,0,40,840,41,591,28,625,662,1,1,1273,535,78,12,0,204,409,0,613,8,18,62,106,91,116,114,68,28,14,0,0 to 98,47,254,307,39,13,30,541,42,58,2,36,0,0,9,625,416,209,613,12,0,3488,1,4128,3489,625,9,452,415,{862C7BAB-C64B-458C-A6FA-56543968D206},5,25,30,0.166666666666667,47,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,2240,110,201,260,284,298,325,297,254,133,70,8,0 to 99,43,1298,938,4,2204,36,0,113,1109,53,1267,75,1059,1179,1,1,2202,704,338,15,2,573,469,0,1042,39,82,127,149,157,181,143,100,42,39,0,0 to 99,42,341,616,56,29,55,897,90,168,1,51,2,2,24,1059,473,586,1042,17,0,5258,19,6347,5277,1059,24,1307,1208,{89851E42-542B-499A-AC7E-D8F5369F3D0B},6,85,91,0.0659340659340659,43,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2553,14,56,254,705,592,442,315,115,42,9,9,0 to 105,38,389,2160,4,2553,0,0,28,1925,1,330,10,524,2029,0,0,2553,488,36,0,0,143,381,0,524,6,18,93,101,90,99,79,23,13,2,0,0 to 86,39,350,126,28,20,28,380,116,37,0,12,0,0,10,524,381,143,524,0,0,3143,0,3667,3143,524,10,565,541,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},1,8,9,0.111111111111111,39,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2586,47,81,240,622,509,412,315,217,89,51,3,0 to 118,40,713,1858,15,2574,12,0,80,1920,9,897,15,889,1696,0,1,2574,747,134,4,4,307,574,0,881,28,55,109,177,155,147,123,61,24,10,0,0 to 91,40,383,428,59,11,114,636,131,103,1,35,0,0,9,889,578,311,881,8,0,4751,3,5645,4754,889,9,181,179,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},0,22,22,0,40,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,9746,123,251,1234,1567,1491,1644,1555,1026,544,259,52,0 to 119,46,5075,4607,64,9562,184,0,1384,4653,28,6010,256,6449,3270,1,26,9537,6138,149,160,2,3158,3100,29,6287,72,170,987,1190,1059,1076,922,580,295,97,1,0 to 99,42,3675,637,863,1112,493,4307,1487,766,21,367,10,6,127,6449,3188,3232,6287,162,0,30713,30,37265,30743,6449,127,1392,1385,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},10,107,117,0.0854700854700855,42,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,7267,157,292,714,1064,1126,1098,1215,890,451,250,10,0 to 119,47,3251,3962,54,7241,26,0,973,3057,63,4158,47,4107,3154,0,6,7235,3695,399,10,3,1429,2662,3,4094,70,156,485,713,745,689,600,388,189,71,1,0 to 102,43,2499,1214,181,200,253,3584,257,140,1,238,2,0,71,4107,2670,1434,4094,13,0,14415,13,18591,14428,4107,71,911,910,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},8,196,204,0.0392156862745098,43,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2843,64,126,361,532,500,461,388,239,128,42,2,0 to 103,41,1240,1575,28,2783,60,0,313,1612,16,1160,26,1685,1122,0,36,2747,1401,282,0,2,570,1113,0,1683,9,48,203,356,354,287,222,131,61,14,0,0 to 103,40,882,227,55,519,18,1043,622,120,0,83,0,0,17,1685,1113,572,1683,2,0,6962,55,8730,7017,1685,17,1878,1877,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},4,31,35,0.114285714285714,40,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1754,32,90,193,250,250,291,258,236,108,45,1,0 to 119,47,910,834,10,1730,24,0,70,886,5,698,101,835,917,0,2,1728,702,118,12,3,375,445,0,820,15,39,112,147,135,138,109,83,38,19,0,0 to 101,42,614,87,54,65,34,673,113,54,0,30,0,0,11,835,449,386,820,15,0,4714,9,5568,4723,835,11,1042,1036,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},1,18,19,0.0526315789473684,42,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,11947,250,500,1359,1356,1450,1601,1899,1709,1240,564,19,0 to 100,51,6086,5502,359,11833,114,0,1061,7606,82,4153,142,5173,6715,2,57,11776,5113,26,34,0,2543,2569,27,5139,114,285,871,798,774,778,621,387,329,214,2,0 to 100,41,2457,274,1183,1225,1885,2208,1046,705,4,410,3,1,155,5173,2589,2557,5139,34,0,35184,77,40479,35261,5173,155,4167,4156,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},4,288,292,0.0136986301369863,41,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,97622,2310,4196,13331,16389,14540,14777,13928,9826,5255,2533,537,0 to 119,43,53926,42966,730,97039,583,0,6500,75403,458,19153,766,45456,51565,19,582,96439,44494,713,242,6,23954,20929,324,45207,933,2128,8483,9032,7111,6791,5137,2857,1622,932,429,0 to 110,37,16984,5821,6570,15832,11581,15449,18177,3681,29,1976,20,5,750,45455,21038,24085,45207,248,0,302342,342,348672,302684,45455,750,15938,15592,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},174,2821,2995,0.0580968280467446,37,3.452361349671768,0.2518380530212434
