OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
14,14,24,047,HAMILTON,Hamilton,FL,2289,36,59,224,584,448,358,266,186,79,46,3,0 to 118,40,617,1654,18,2281,8,0,68,1909,9,604,14,617,1671,0,1,2280,520,92,4,1,230,382,0,612,25,42,96,135,99,96,73,33,13,5,0,0 to 90,36,264,299,41,8,90,367,155,82,1,22,0,0,4,617,385,232,612,5,0,3426,3,4048,3429,617,4,50,48,1344926537.82205,232510.619937192,d384b6bb-17b0-4808-9d73-78cb54c43aab,36
15,15,3,005,BAY,Bay,FL,7416,90,114,883,1217,1145,1257,1190,785,436,232,67,0 to 119,47,3827,3465,124,7328,88,0,821,4946,28,3287,144,4388,3018,0,10,7318,4183,137,66,2,2083,2152,85,4320,54,82,693,862,748,753,595,359,169,58,15,0 to 99,41,2294,433,499,1094,309,2583,1428,462,14,196,5,5,51,4388,2193,2109,4320,68,0,21852,38,26337,21890,4388,51,368,361,1930770661.49939,558412.990825665,a66f3b06-8ee0-4dec-843e-f41d712aad2f,41
16,16,12,023,COLUMBIA,Columbia,FL,5922,130,176,475,886,939,899,1035,767,380,225,10,0 to 119,49,2590,3266,66,5899,23,0,638,3066,63,2786,23,2835,3083,0,4,5895,2588,237,8,2,798,2023,4,2825,53,86,266,540,560,493,417,256,120,43,1,0 to 102,43,1105,473,117,1130,121,1371,1333,45,1,120,2,0,15,2835,2030,801,2825,10,0,10579,13,13482,10592,2835,15,54,53,2068684690.43686,276060.430857214,6958d394-62b5-4f73-a62a-0fa2389d4fb3,43
17,17,2,003,BAKER,Baker,FL,1777,42,43,203,325,334,295,268,142,89,34,2,0 to 99,43,782,970,25,1718,59,0,149,1267,16,548,16,827,929,0,21,1697,733,94,0,0,234,593,0,827,5,15,89,184,197,145,120,39,27,6,0,1 to 97,40,358,105,39,325,13,441,373,53,0,27,0,0,4,827,593,234,827,0,0,4573,59,5473,4632,827,4,565,564,1520245937.66486,183737.354704368,393e3bc9-079e-4ad6-9162-d77ee72feb59,40
18,18,30,059,HOLMES,Holmes,FL,1329,23,44,135,199,195,221,205,190,84,32,1,0 to 119,48,659,656,14,1309,20,0,35,830,5,422,51,494,831,0,4,1305,416,67,8,3,179,303,1,483,9,16,67,104,95,84,52,42,17,8,0,0 to 96,39,326,81,35,41,25,376,82,31,0,16,0,0,2,494,308,185,483,11,0,3732,9,4242,3741,494,2,519,513,1251550190.83949,175658.620344926,bd5e2bc2-c55e-45e6-8687-0c7528780cd1,39
19,19,43,085,MARTIN,Martin,FL,10131,207,346,965,1176,1266,1336,1653,1552,1113,494,23,0 to 100,53,5089,4638,404,10026,105,0,857,6920,82,3324,111,3802,6276,1,52,9974,3757,20,25,0,1831,1922,24,3777,106,214,606,642,623,576,418,258,210,146,3,0 to 100,39,1681,224,1030,842,1773,1381,623,582,4,333,3,1,92,3802,1937,1841,3777,25,0,21577,77,25495,21654,3802,92,1990,1979,1686613017.08661,308980.48751506,14dc1d1d-ce53-4995-9cf2-039fe1559f59,39
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,82059,1925,2918,9421,14024,12386,12627,12305,8909,4753,2229,562,0 to 119,45,45733,35811,515,81585,474,0,4009,69429,458,10380,485,32268,49576,22,193,81370,31583,551,129,5,17034,14857,243,32134,706,1472,5427,6863,5191,4857,3651,1956,1093,602,450,0 to 104,37,10743,4159,4245,12987,7841,9337,14956,2552,19,1385,13,5,388,32268,14917,17108,32134,134,0,208157,350,241258,208507,32268,388,5838,5491,2746844886.16013,358788.307034344,12be5e4e-9d96-4b8e-8617-77c84f3bc487,37
21,21,41,081,MANATEE,Manatee,FL,23371,451,865,2227,2847,2856,3161,3869,3801,2317,864,113,0 to 119,52,12945,10054,372,23041,330,0,2216,18652,177,5209,83,9199,14160,3,9,23029,9025,79,95,0,4728,4232,144,9104,209,579,1474,1630,1477,1346,1130,697,434,213,10,0 to 101,39,4025,843,1169,3067,2301,3084,3719,485,7,615,6,2,191,9199,4277,4775,9104,95,0,74802,267,84334,75069,9199,191,651,552,1945653927.12581,371198.171414394,0ad77407-ceaa-4c6b-9e84-485e7d0fa9cc,39
22,22,10,019,CLAY,Clay,FL,11347,169,354,1179,1411,1646,1899,1882,1534,885,365,23,0 to 101,49,6430,4769,148,11321,26,0,788,8599,130,2069,125,3245,8088,1,13,11307,3114,123,8,0,1777,1452,8,3237,31,106,527,483,515,561,451,292,182,97,0,0 to 100,44,1611,548,264,814,300,2042,895,469,0,212,0,0,51,3245,1456,1781,3237,8,0,31212,18,34492,31230,3245,51,1987,1954,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,44
23,23,25,049,HARDEE,Hardee,FL,1996,67,180,325,365,262,273,239,172,81,32,0,0 to 95,37,1032,937,27,1987,9,0,73,769,2,1143,24,950,1045,1,0,1986,674,269,6,1,448,490,5,943,25,86,176,189,137,138,102,64,25,8,0,0 to 93,34,664,83,111,85,595,256,92,133,3,81,3,1,7,950,495,450,943,7,0,4555,2,5519,4557,950,7,1548,1447,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,34
24,24,42,083,MARION,Marion,FL,24377,321,601,2099,3309,3310,3559,3902,3847,2442,944,43,0 to 168,52,14860,9445,72,24341,36,0,5729,13334,177,7963,247,6260,17856,1,260,24082,6085,162,12,1,3794,2420,33,6247,83,178,784,1234,1245,1016,822,490,279,111,18,0 to 104,41,3631,1233,482,901,799,4077,1371,784,4,484,0,0,89,6260,2422,3805,6247,13,0,44902,24,51283,44926,6260,89,1674,1509,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,41
25,25,64,127,VOLUSIA,Volusia,FL,27676,329,611,2236,3349,3243,4006,5259,4624,2515,1205,299,0 to 119,54,15407,11661,608,27538,138,0,1682,22633,230,5456,303,7779,19828,0,69,27470,6950,774,49,6,4069,3601,54,7724,106,274,1208,1398,1117,1146,1093,737,423,251,26,0 to 103,42,3519,1011,1520,1674,1308,4226,2190,956,7,571,5,0,131,7779,3630,4095,7724,55,0,65203,85,73169,65288,7779,131,2983,2361,3125661534.15881,560414.73783925106,3b926974-437e-4986-9bff-d87d276166f4,42
26,26,15,029,DIXIE,Dixie,FL,1287,26,55,121,169,233,179,203,166,90,44,1,0 to 118,47,659,618,10,1287,0,0,53,849,6,394,8,475,812,0,0,1287,437,38,0,0,178,296,1,475,1,19,46,83,96,77,73,47,26,7,0,3 to 91,43,278,56,6,135,9,309,157,43,0,31,0,0,4,475,296,178,475,0,0,2933,0,3414,2933,475,4,512,457,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,43
27,27,35,069,LAKE,Lake,FL,20210,337,475,1589,2263,2271,2668,3168,3252,2230,752,1205,0 to 103,54,10699,8598,913,20059,151,0,491,18018,222,1402,120,5073,15056,0,81,19980,4976,67,30,0,2571,2380,92,5043,93,202,788,911,815,787,690,432,253,91,11,0 to 103,41,1487,602,900,2054,698,1905,2440,437,13,273,5,1,67,5073,2396,2584,5043,30,0,58853,124,64137,58977,5073,67,1686,1395,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,41
28,28,38,075,LEVY,Levy,FL,2426,56,85,285,314,269,356,424,329,220,85,3,0 to 118,50,1380,1029,17,2421,5,0,156,1539,16,907,16,673,1751,0,2,2419,623,46,1,3,329,338,2,669,15,35,126,107,86,114,85,62,32,9,2,0 to 99,40,325,119,154,71,185,382,102,58,0,37,0,0,4,673,341,330,669,4,0,5511,1,6196,5512,673,4,920,870,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,40
29,29,60,119,SUMTER,Sumter,FL,5011,34,72,196,268,293,417,677,1702,1095,172,85,0 to 119,68,2554,2308,149,4931,80,0,330,3890,164,1074,125,1284,3703,0,24,4907,1160,116,7,1,619,653,4,1276,6,37,104,91,137,162,183,317,200,47,0,1 to 99,61,704,204,70,298,66,874,336,279,1,176,0,0,41,1284,656,624,1276,8,0,16305,73,17675,16378,1284,41,689,677,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,61
30,30,59,117,SEMINOLE,Seminole,FL,23376,360,643,2628,3395,3252,3605,3555,2912,1432,750,844,0 to 119,47,13099,10068,209,23317,59,0,1029,19475,246,2848,155,7048,16266,1,61,23258,6952,70,26,0,3767,3181,74,7022,125,233,1391,1417,1054,1053,764,480,277,251,3,0 to 104,38,2810,767,886,2559,1000,2381,3641,711,5,451,1,0,118,7048,3193,3778,7022,26,0,60623,35,67772,60658,7048,118,2598,2356,893350621.597626,158549.770327082,5a9b725e-b5bc-4433-a9c5-f30390148c62,38
31,31,48,095,ORANGE,Orange,FL,91367,1626,2327,10201,15877,14415,14252,13228,8882,4262,1696,4601,0 to 120,44,49070,41547,750,90010,1356,1,3401,82358,585,9312,531,31395,59526,3,443,89566,30847,152,391,5,15598,14993,408,30999,480,874,5772,7571,5615,4681,3363,1686,887,401,65,0 to 106,36,7301,4196,5260,14242,5339,7063,18597,1787,54,940,42,5,297,31395,15199,15779,30998,396,1,237057,985,269721,238042,31395,297,3405,3177,2601855780.29929,275135.911496092,e33d02e5-646c-40c2-b9d7-442237fbb181,36
32,32,9,017,CITRUS,Citrus,FL,5813,58,141,462,617,575,746,1059,1135,758,248,14,0 to 222,58,3249,2412,152,5802,11,0,338,3963,119,1436,44,1514,4267,1,31,5771,901,610,2,1,782,724,5,1511,13,42,205,190,173,235,283,185,124,59,5,0 to 100,51,1154,103,112,142,82,1232,197,118,0,147,0,0,36,1514,726,783,1511,3,0,16749,8,18282,16757,1514,36,2183,1731,1565249379.23035,242867.273750112,3c97198a-a027-4923-a8f8-ce1fafd29127,51
33,33,27,053,HERNANDO,Hernando,FL,5911,102,140,582,802,739,862,984,770,560,353,17,0 to 102,52,3513,2379,19,5883,28,0,563,4044,66,2157,60,1975,3934,0,2,5881,1670,291,12,2,1082,871,8,1961,24,66,270,317,272,300,271,210,139,93,13,0 to 100,46,1483,217,240,21,357,1562,42,371,2,251,2,1,47,1975,875,1092,1961,14,0,16750,14,18752,16764,1975,47,2244,2193,1259956856.20596,200494.167365377,6eb18eb2-9734-45d8-9ba1-42eee8f524af,46
34,34,52,103,PINELLAS,Pinellas,FL,52761,564,1012,4519,7409,6472,7680,9483,8009,4840,2685,88,0 to 120,53,29959,22735,67,52368,393,0,4728,40619,411,16357,545,17725,35020,1,15,52353,17387,215,116,7,9459,8143,0,17602,237,612,2578,3505,2460,2563,2490,1557,1001,713,9,0 to 104,42,8945,3033,1459,4165,1899,10591,5112,2325,29,1678,21,2,497,17725,8209,9516,17602,123,0,152918,275,171061,153193,17725,497,1236,1144,758940582.72230506,356104.408630079,9a6ae3e8-4aea-4d85-a26a-0191e0a5371a,42
35,35,61,121,SUWANNEE,Suwannee,FL,3264,99,153,354,443,438,408,476,384,277,221,11,0 to 118,48,1916,1283,65,3247,17,0,117,2101,110,1234,31,1404,1858,0,2,3245,1229,158,14,3,726,653,8,1387,43,97,203,200,221,185,158,121,101,74,1,0 to 102,42,723,171,238,255,353,728,306,213,2,102,0,0,43,1404,659,737,1387,17,0,6147,0,7568,6147,1404,43,386,382,1792465815.52835,223150.095858967,50957d1d-0570-4e74-922c-4ab5f585c01c,42
36,36,16,031,DUVAL,Duval,FL,69717,1152,2077,7920,12563,10514,10594,11111,7782,3885,1966,153,-6 to 119,45,37950,30920,847,68942,775,0,2227,60439,454,6427,278,23166,46364,13,174,68762,21287,1640,217,22,12062,10713,152,22927,321,940,3761,5340,3839,3411,2728,1618,757,428,23,0 to 103,37,5664,7529,2320,7414,1838,11398,9691,1276,29,691,15,7,188,23166,10841,12171,22927,239,0,184801,552,208739,185353,23166,188,5358,5244,2136692125.83844,339628.979868484,e178a8cf-16fc-449e-abf2-a69cfad303d5,37
37,37,34,067,LAFAYETTE,Lafayette,FL,459,10,6,55,63,51,49,60,62,56,46,1,0 to 119,54,288,166,5,458,1,0,14,349,0,72,1,134,324,0,1,457,124,9,1,0,75,58,0,133,5,6,14,27,13,20,24,17,4,4,0,1 to 98,47,76,30,19,8,17,106,10,27,0,9,0,0,1,134,58,76,133,1,0,785,0,922,785,134,1,72,72,1417838543.00769,193229.836834708,ffda6c44-8232-4ba9-a8d7-1995d8fd20d3,47
38,38,23,045,GULF,Gulf,FL,1333,29,69,119,166,156,227,268,186,85,28,0,0 to 94,50,655,675,3,1271,62,0,81,600,1,532,23,599,732,0,2,1269,587,3,9,0,229,361,0,590,8,29,62,88,88,106,126,66,17,9,0,1 to 94,47,350,214,10,16,27,522,41,90,2,37,2,0,2,599,368,231,590,9,0,3912,55,4571,3967,599,2,559,555,1469866107.27026,258929.917930346,35df54b7-4874-405b-8ef3-9e45948ba616,47
39,39,63,125,UNION,Union,FL,1453,17,37,105,117,162,175,451,295,78,16,0,0 to 118,57,429,1018,6,1453,0,0,77,1135,4,329,5,297,1156,0,0,1453,217,80,0,0,102,195,0,297,6,11,45,47,53,33,66,28,6,2,0,0 to 91,42,204,78,12,3,12,276,9,31,0,23,0,0,5,297,195,102,297,0,0,5117,0,5423,5117,297,5,323,322,646977045.561768,128178.538552252,254bd11b-c8fe-4e18-b61d-a60a5658d980,42
40,40,4,007,BRADFORD,Bradford,FL,1922,35,50,180,248,237,296,381,222,163,104,6,0 to 118,52,1092,809,21,1920,2,0,137,1383,34,552,2,469,1451,0,2,1918,364,105,0,0,183,286,0,469,6,14,57,60,73,83,94,40,29,13,0,0 to 107,47,272,135,21,41,11,399,59,39,0,27,0,0,4,469,286,183,469,0,0,3964,2,4454,3966,469,4,558,526,776744615.959412,167178.838252791,588f1d06-056b-4af5-a2e7-a5366c833ba5,47
41,41,65,129,WAKULLA,Wakulla,FL,2058,30,77,201,290,315,348,364,260,128,44,1,0 to 102,49,1018,1034,6,2050,8,0,73,1278,13,733,35,680,1375,0,3,2047,627,47,5,1,231,443,0,674,7,24,92,139,128,117,110,39,18,6,0,1 to 91,41,429,156,49,40,42,552,80,73,0,32,1,0,4,680,445,235,674,6,0,7005,2,7721,7007,680,4,598,523,1579533632.64177,279225.038340218,72742cee-2b13-49f0-be2b-615f9835dd19,41
42,42,5,009,BREVARD,Brevard,FL,24854,309,487,2040,2782,2865,3501,5160,4412,2383,758,157,0 to 119,55,13966,10763,125,24827,27,0,1392,21317,107,4849,158,5963,18879,0,12,24815,5830,112,18,3,3177,2732,33,5942,61,151,1055,1026,868,869,846,517,322,237,11,0 to 105,42,3110,673,514,1645,766,3311,1865,932,6,465,3,0,142,5963,2742,3188,5942,21,0,76792,17,82829,76809,5963,142,1436,1378,2687643838.87906,793218.333609179,943db4a8-472c-444e-b81a-0e7cf9758ca2,42
43,43,53,105,POLK,Polk,FL,31646,753,1246,3320,4809,4656,4639,4554,3903,2377,1035,354,0 to 119,46,17545,13768,333,31524,122,0,2043,24721,231,6430,249,14124,17466,1,55,31468,12634,1445,33,12,7404,6493,182,14079,280,704,2062,2654,2454,2119,1682,1120,662,363,24,0 to 103,40,6572,2439,1334,3734,3535,5623,4921,1828,11,1393,10,1,312,14124,6511,7431,14079,45,0,81657,78,95956,81735,14124,312,4845,4276,5206715917.89822,388118.956177661,233f5cac-222a-4ee3-81fe-76bb2a2139f5,40
44,44,49,097,OSCEOLA,Osceola,FL,22449,321,840,2351,3642,3637,3783,3265,2321,1167,427,695,0 to 155,45,12186,10029,234,22337,112,0,2333,16591,390,3956,239,9568,12767,2,112,22224,9425,59,82,2,4900,4433,151,9484,136,425,1416,1930,1777,1670,1049,656,351,128,30,0 to 104,39,2876,493,2727,3388,3970,1577,3937,780,11,419,8,2,104,9568,4488,4926,9484,84,0,53463,28,63184,53491,9568,104,3336,2826,3899316052.50861,350452.549474464,98fbcdad-181a-4269-a498-787173f6e740,39
45,45,28,055,HIGHLANDS,Highlands,FL,5140,96,135,332,613,525,628,795,842,740,414,20,0 to 119,58,3008,2100,32,5074,66,0,172,4061,47,1182,46,1396,3736,0,8,5066,1270,123,3,0,740,652,1,1393,26,50,152,227,191,210,219,139,124,58,0,0 to 98,48,797,221,195,180,381,771,241,303,2,159,1,0,37,1396,655,740,1393,3,0,14340,63,15812,14403,1396,37,1338,1224,2866885704.30579,296636.719911829,0861b99e-575f-41b4-992b-839b0b3f4f63,48
46,46,36,071,LEE,Lee,FL,40191,579,950,4077,5604,5469,5866,6268,5831,3717,1733,97,0 to 119,50,22449,17402,340,39036,1154,1,1635,33308,613,10319,258,16431,23730,2,28,39007,15448,698,278,7,8425,7537,184,16146,300,587,2558,3010,2632,2593,2085,1323,775,526,42,0 to 102,41,6667,1549,757,7173,3649,5016,7481,1900,20,1062,17,9,334,16431,7686,8555,16145,285,1,96146,928,113563,97074,16431,334,3963,2360,2112333669.17714,583283.842331616,d113537a-ba7a-4d3b-936c-ea742824206c,41
47,47,11,021,COLLIER,Collier,FL,24119,610,1028,2762,3109,3284,3369,3417,3259,2402,843,36,0 to 105,48,12739,11084,296,23699,420,0,1592,16940,356,7041,227,10265,13647,3,204,23492,9713,411,125,16,5124,4878,122,10124,272,529,1724,1688,1725,1626,1256,731,479,233,2,0 to 104,40,4990,619,1033,3482,4123,2486,3515,1159,22,721,12,6,133,10265,4939,5165,10124,141,0,51484,288,62102,51772,10265,133,6031,5051,5197102107.68439,580181.883282756,b407dcd0-fa26-4ba4-bfdb-b31c63c940ba,40
48,48,13,025,DADE,Dade,FL,265975,3562,6525,26605,45542,43379,48060,42081,26504,14783,8068,866,-1 to 225,46,137707,126465,1803,264113,1861,1,11309,224596,2785,31365,1178,131217,134393,92,273,263750,128741,1570,896,10,65966,63531,814,130311,1909,4254,16615,24638,22059,23614,18408,10323,5831,3283,283,1 to 108,43,47267,11612,12161,59271,53603,15536,61172,12162,69,6197,37,16,1838,131217,63971,66367,130310,906,1,542688,988,676584,543676,131217,1838,11732,10994,5114451079.58835,540836.793924443,aea3ae00-e34e-48c0-8b01-466a26b4b1e0,43
49,49,44,087,MONROE,Monroe,FL,5681,105,151,476,833,839,976,1079,758,351,111,2,0 to 101,49,2910,2732,39,5586,95,0,1551,2598,83,1718,149,1514,4102,0,65,5523,1460,28,21,5,701,778,9,1488,32,56,183,296,269,276,198,128,61,15,0,0 to 100,42,897,84,66,441,486,534,468,226,5,94,4,0,13,1514,794,711,1488,26,0,11973,67,13566,12040,1514,13,2647,2370,2629619857.16548,1399292.97354894,629deeae-bcfa-4ad2-8de1-1d764edd7ac6,42
