OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
18,18,30,059,HOLMES,Holmes,FL,1352,25,45,139,203,202,223,207,190,85,32,1,0 to 119,48,673,665,14,1332,20,0,35,822,5,441,57,509,839,0,4,1328,431,67,8,3,187,310,1,498,11,17,71,107,97,84,54,42,18,8,0,0 to 96,39,350,81,35,32,25,400,73,32,0,16,0,0,3,509,315,193,498,11,0,3771,9,4296,3780,509,3,540,534,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},39,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,10188,208,347,972,1186,1271,1351,1658,1561,1114,497,23,0 to 100,53,5124,4670,394,10083,105,0,880,6920,82,3375,113,3852,6286,1,49,10034,3807,20,25,0,1856,1951,20,3827,106,216,614,652,629,587,422,264,210,149,3,0 to 100,39,1714,229,1038,846,1796,1405,626,586,4,334,3,1,99,3852,1966,1866,3827,25,0,21920,77,25887,21997,3852,99,2017,2006,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},39,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,82809,1933,2968,9529,14143,12529,12731,12400,8973,4777,2254,572,0 to 119,45,46130,36178,501,82337,472,0,4148,69798,458,10765,490,32996,49598,22,193,82122,32306,558,127,5,17428,15203,233,32864,714,1515,5532,6984,5328,4957,3742,2019,1119,626,460,0 to 104,37,11078,4280,4389,13117,8094,9635,15135,2603,20,1408,14,5,395,32996,15262,17501,32864,132,0,213271,350,247097,213621,32996,395,5883,5536,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},37,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,23581,460,880,2260,2882,2879,3199,3895,3819,2326,866,115,0 to 119,52,13058,10155,368,23251,330,0,2340,18627,177,5458,89,9395,14172,3,11,23237,9221,79,95,0,4836,4325,139,9300,218,592,1507,1658,1500,1383,1153,713,444,215,12,0 to 101,39,4167,879,1245,3009,2381,3236,3683,556,8,653,7,2,234,9395,4370,4883,9300,95,0,76306,267,86028,76573,9395,234,676,577,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},39,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,11441,170,359,1194,1424,1662,1917,1890,1542,890,369,24,0 to 101,49,6476,4812,153,11414,27,0,828,8588,130,2092,127,3327,8100,1,13,11400,3195,123,9,0,1815,1492,11,3318,32,107,540,497,528,577,458,300,187,101,0,0 to 100,44,1664,565,274,815,310,2109,899,482,0,215,0,0,52,3327,1497,1819,3318,9,0,31760,18,35125,31778,3327,52,2019,1986,{D8B9952E-371D-460F-96AE-4666BDB4AD84},44,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,2040,67,181,327,370,277,284,243,177,82,32,0,0 to 95,37,1044,969,27,2031,9,0,80,792,2,1210,24,986,1053,1,0,2030,709,270,6,1,456,518,5,979,25,86,177,192,151,148,105,68,26,8,0,0 to 93,35,690,87,112,90,608,273,98,134,3,88,3,1,7,986,523,458,979,7,0,5198,2,6201,5200,986,7,1567,1466,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},35,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,24864,326,617,2157,3396,3385,3634,3978,3888,2461,960,62,0 to 168,51,15091,9678,95,24826,38,0,5742,13421,177,8347,253,6668,17960,1,235,24592,6488,165,14,1,3994,2607,52,6653,85,187,831,1308,1315,1089,877,520,296,123,37,0 to 104,41,3866,1330,530,927,856,4367,1430,815,4,500,0,0,102,6668,2610,4006,6653,15,0,46425,24,53224,46449,6668,102,1713,1548,{76CC1B01-DF08-469D-A322-71F8D05597D9},41,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,27943,326,619,2270,3391,3273,4048,5308,4658,2536,1212,302,0 to 119,54,15553,11791,599,27802,141,0,1745,22732,230,5649,308,8040,19839,0,64,27739,7197,785,52,6,4201,3725,56,7982,110,279,1242,1439,1144,1185,1137,773,444,258,29,0 to 103,43,3632,1042,1586,1722,1365,4368,2249,990,9,590,7,0,140,8040,3755,4229,7982,58,0,66647,85,74881,66732,8040,140,3041,2419,{3B926974-437E-4986-9BFF-D87D276166F4},43,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1384,28,57,129,183,269,193,212,177,91,44,1,0 to 118,46,676,699,9,1384,0,0,57,798,6,548,8,562,820,0,2,1382,524,38,0,0,188,374,0,562,2,19,53,94,130,90,82,58,27,7,0,2 to 91,43,350,109,13,90,28,425,109,49,0,34,0,0,4,562,374,188,562,0,0,3585,0,4160,3585,562,4,534,479,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},43,2.2860035232508604,0.16986935676523782
27,27,35,069,LAKE,Lake,FL,20392,339,482,1614,2288,2298,2696,3195,3271,2240,756,1213,0 to 103,54,10799,8680,913,20241,151,0,580,18050,222,1493,122,5229,15077,0,86,20157,5131,68,30,0,2649,2448,102,5199,94,206,810,931,837,812,715,447,262,95,20,0 to 103,41,1565,656,982,1996,756,2031,2412,448,13,279,5,1,68,5229,2464,2662,5199,30,0,60414,124,65856,60538,5229,68,1710,1419,{9712F6A1-E709-4877-97E2-3FE2EADA2B79},41,3.1372177658296403,0.2767939666036923
28,28,38,075,LEVY,Levy,FL,2457,56,87,290,317,273,360,429,335,221,85,4,0 to 118,50,1399,1041,17,2452,5,0,156,1554,16,931,16,698,1757,0,2,2450,647,47,1,3,345,347,2,694,15,36,129,109,89,117,90,68,33,9,3,0 to 99,41,341,122,153,78,185,399,110,64,0,41,0,0,5,698,350,346,694,4,0,5614,1,6323,5615,698,5,940,890,{E8B9FC01-E14C-4049-BABC-F4AA93256EA0},41,3.285612676633913,0.2694178390611945
29,29,60,119,SUMTER,Sumter,FL,5079,34,78,202,274,300,432,685,1711,1102,176,85,0 to 119,68,2590,2343,146,4999,80,0,333,3912,164,1122,128,1344,3713,0,22,4977,1218,118,7,1,649,684,3,1336,6,42,110,97,142,176,190,325,205,51,0,1 to 99,60,733,215,74,314,66,911,359,290,1,181,0,0,42,1344,687,654,1336,8,0,16630,73,18061,16703,1344,42,709,697,{A985CCBC-BA3E-4854-ACDF-8E9CD885E5AA},60,2.170222363613529,0.1387390006306793
30,30,59,117,SEMINOLE,Seminole,FL,23565,359,656,2649,3424,3275,3636,3582,2931,1446,767,840,0 to 119,47,13196,10162,207,23506,59,0,1064,19496,246,2995,160,7219,16286,1,59,23449,7122,71,26,0,3848,3269,76,7193,124,246,1410,1444,1073,1079,786,497,290,268,2,0 to 104,38,2880,788,945,2580,1048,2471,3674,743,5,478,1,0,130,7219,3281,3860,7193,26,0,61737,35,69057,61772,7219,130,2670,2428,{5A9B725E-B5BC-4433-A9C5-F30390148C62},38,1.5446585450617825,0.08250171782179487
31,31,48,095,ORANGE,Orange,FL,92045,1643,2367,10290,15996,14542,14364,13326,8929,4281,1701,4606,0 to 120,44,49432,41864,749,90681,1363,1,3594,82646,585,9631,541,32042,59553,3,447,90233,31487,152,398,5,15938,15294,407,31639,496,908,5853,7689,5737,4785,3461,1730,903,406,74,0 to 106,36,7506,4319,5438,14376,5589,7310,18740,1821,53,953,42,6,315,32042,15504,16122,31638,403,1,241795,985,275111,242780,32042,315,3474,3246,{E33D02E5-646C-40C2-B9D7-442237FBB181},36,2.6954153424737233,0.23982321011186428
32,32,9,017,CITRUS,Citrus,FL,5917,59,149,472,622,595,758,1081,1143,766,251,21,0 to 222,58,3306,2453,158,5905,12,0,355,3983,119,1518,44,1594,4285,1,37,5868,961,629,3,1,826,752,12,1590,13,46,213,195,186,245,299,194,130,61,12,0 to 100,51,1227,105,116,142,85,1302,203,119,0,152,0,0,37,1594,755,827,1590,4,0,17130,8,18743,17138,1594,37,2248,1796,{3C97198A-A027-4923-A8F8-CE1FAFD29127},51,2.360781291452237,0.1447320576905284
33,33,27,053,HERNANDO,Hernando,FL,6019,104,143,593,813,749,875,1001,784,569,367,21,0 to 102,52,3579,2423,17,5991,28,0,592,4059,66,2268,60,2069,3947,0,3,5988,1759,296,12,2,1140,910,5,2055,25,67,277,326,282,313,286,221,148,107,17,0 to 101,46,1547,227,252,29,371,1629,55,386,2,266,2,1,50,2069,914,1150,2055,14,0,17228,14,19323,17242,2069,50,2368,2317,{6EB18EB2-9734-45D8-9BA1-42EEE8F524AF},46,1.9746834927438903,0.11617688304956975
34,34,52,103,PINELLAS,Pinellas,FL,53151,568,1018,4568,7487,6535,7737,9542,8046,4862,2700,88,0 to 120,53,30167,22915,69,52755,396,0,4833,40748,411,16726,550,18103,35033,1,14,52741,17734,243,119,7,9649,8324,4,17977,241,618,2624,3583,2516,2621,2543,1595,1023,730,9,0 to 104,42,9232,3120,1512,4113,1964,10839,5174,2404,29,1737,22,2,513,18103,8390,9709,17977,126,0,156285,276,174807,156561,18103,513,1257,1165,{9A6AE3E8-4AEA-4D85-A26A-0191E0A5371A},42,3.3752723369031523,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,3365,98,156,361,470,461,422,489,392,282,223,11,0 to 118,48,1934,1366,65,3348,17,0,122,2100,110,1332,35,1507,1857,0,1,3347,1332,158,14,3,748,734,8,1490,42,99,210,229,244,201,170,130,105,76,1,0 to 102,41,790,201,243,256,357,824,309,217,2,106,0,0,44,1507,740,759,1490,17,0,6608,0,8144,6608,1507,44,408,404,{50957D1D-0570-4E74-922C-4AB5F585C01C},41,2.139339720180784,0.16791247707596718
36,36,16,031,DUVAL,Duval,FL,70338,1173,2116,7976,12674,10608,10691,11221,7837,3913,1971,158,0 to 119,45,38284,31182,872,69556,782,0,2413,60563,454,6654,286,23741,46398,13,186,69364,21831,1664,224,22,12371,10957,167,23495,338,974,3815,5440,3924,3501,2834,1671,782,436,26,0 to 103,37,5852,7752,2418,7473,1909,11794,9792,1349,29,717,15,7,198,23741,11090,12482,23495,246,0,188603,552,213117,189155,23741,198,5474,5360,{E178A8CF-16FC-449E-ABF2-A69CFAD303D5},37,3.2741145576068362,0.20042527586500067
37,37,34,067,LAFAYETTE,Lafayette,FL,513,10,6,61,84,61,53,66,64,61,46,1,0 to 119,50,293,215,5,513,0,0,14,401,0,113,1,189,322,0,2,511,180,9,0,0,82,107,0,189,5,6,19,48,23,25,30,20,9,4,0,1 to 98,40,117,43,20,9,24,151,14,27,0,9,0,0,2,189,107,82,189,0,0,795,0,988,795,189,2,72,72,{FFDA6C44-8232-4BA9-A8D7-1995D8FD20D3},47,1.8705463026895663,0.13254267235577655
38,38,23,045,GULF,Gulf,FL,1442,33,78,128,199,175,247,276,190,88,28,0,0 to 94,49,685,754,3,1380,62,0,88,608,1,593,25,685,753,0,4,1376,673,3,9,0,250,426,0,676,12,33,67,117,102,122,133,69,21,9,0,0 to 94,46,406,238,14,18,34,597,45,99,2,42,2,0,2,685,433,252,676,9,0,4193,55,4937,4248,685,2,593,589,{35DF54B7-4874-405B-8EF3-9E45948BA616},46,2.481270359629682,0.13736664794299125
39,39,63,125,UNION,Union,FL,1592,18,37,110,151,215,205,465,297,78,16,0,0 to 118,56,435,1152,5,1592,0,0,81,1136,4,467,5,435,1157,0,0,1592,351,84,0,0,107,328,0,435,7,11,50,81,105,63,80,30,6,2,0,0 to 91,40,295,123,12,5,13,409,13,32,0,23,0,0,5,435,328,107,435,0,0,7311,0,7765,7311,435,5,334,333,{254BD11B-C8FE-4E18-B61D-A60A5658D980},41,1.2644836185568544,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1974,39,52,183,262,248,306,385,224,165,104,6,0 to 118,51,1103,851,20,1972,2,0,145,1383,34,603,2,519,1454,0,1,1971,412,107,0,0,194,325,0,519,9,15,60,74,84,92,99,42,31,13,0,0 to 107,46,295,159,22,43,15,442,62,43,0,30,0,0,4,519,325,194,519,0,0,4030,2,4572,4032,519,4,571,540,{588F1D06-056B-4AF5-A2E7-A5366C833BA5},46,1.602310935605065,0.07258628164221025
41,41,65,129,WAKULLA,Wakulla,FL,2116,30,80,209,297,327,360,374,264,129,45,1,0 to 102,49,1036,1074,6,2108,8,0,79,1278,13,811,36,726,1387,0,3,2105,673,47,5,1,242,478,0,720,7,26,99,145,139,126,115,43,19,7,0,1 to 91,41,448,162,50,60,43,580,97,78,0,33,1,0,5,726,480,246,720,6,0,7197,2,7959,7199,726,5,621,546,{72742CEE-2B13-49F0-BE2B-615F9835DD19},41,2.7288976415051747,0.1479282173102527
42,42,5,009,BREVARD,Brevard,FL,25085,312,493,2069,2821,2895,3531,5192,4429,2404,781,158,0 to 119,55,14066,10895,124,25058,27,0,1425,21445,107,5071,158,6190,18880,0,15,25043,6056,113,18,3,3278,2863,28,6169,63,157,1082,1062,898,898,878,537,342,261,12,0 to 105,42,3220,726,534,1689,788,3440,1941,970,6,488,3,1,157,6190,2873,3289,6169,21,0,78408,17,84671,78425,6190,157,1444,1386,{943DB4A8-472C-444E-B81A-0E7CF9758CA2},42,7.433882583452878,0.24714778699200002
43,43,53,105,POLK,Polk,FL,32225,773,1295,3403,4877,4758,4732,4625,3943,2402,1044,373,0 to 119,46,17839,14042,344,32098,127,0,2179,24847,231,6828,252,14645,17517,1,62,32035,13126,1469,38,12,7666,6732,197,14595,297,742,2134,2717,2549,2201,1741,1161,688,372,43,0 to 103,40,6931,2563,1373,3728,3738,5945,4912,1894,12,1456,11,1,326,14645,6754,7694,14595,50,0,84049,78,98873,84127,14645,326,5133,4564,{233F5CAC-222A-4EE3-81FE-76BB2A2139F5},40,3.7473190784524886,0.47744414752375375
44,44,49,097,OSCEOLA,Osceola,FL,22783,325,869,2393,3685,3692,3835,3308,2347,1179,443,707,0 to 155,45,12358,10179,246,22673,110,0,2417,16635,390,4169,240,9858,12805,2,118,22554,9717,59,80,2,5051,4562,163,9776,138,446,1447,1970,1823,1714,1086,684,362,145,43,0 to 104,39,3026,518,2831,3401,4188,1653,3935,795,11,435,8,2,106,9858,4615,5077,9776,82,0,54789,29,64802,54818,9858,106,3453,2943,{98FBCDAD-181A-4269-A498-787173F6E740},39,3.375268581975384,0.3579282820217912
45,45,28,055,HIGHLANDS,Highlands,FL,5236,98,145,346,629,538,637,808,854,745,416,20,0 to 119,57,3052,2143,41,5169,67,0,181,4086,47,1252,51,1474,3754,0,8,5161,1346,124,4,0,778,686,6,1470,27,59,162,239,202,217,230,149,130,59,0,0 to 98,47,849,228,203,190,403,812,255,313,2,163,1,0,37,1474,689,779,1470,4,0,14664,63,16212,14727,1474,37,1395,1281,{0861B99E-575F-41B4-992B-839B0B3F4F63},48,2.84124660964211,0.2614661435844947
46,46,36,071,LEE,Lee,FL,40501,581,960,4119,5658,5522,5922,6305,5868,3731,1739,96,0 to 119,50,22622,17550,329,39341,1159,1,1687,33382,613,10674,264,16718,23750,2,31,39309,15702,726,283,7,8582,7672,174,16428,302,595,2599,3064,2681,2644,2114,1354,790,534,41,0 to 102,41,6824,1584,821,7199,3723,5174,7531,1950,20,1094,17,8,351,16718,7825,8714,16427,290,1,97345,928,115044,98273,16718,351,4047,2444,{D113537A-BA7A-4D3B-936C-EA742824206C},41,5.538754123500179,0.1913752850054424
47,47,11,021,COLLIER,Collier,FL,24361,623,1042,2805,3135,3315,3406,3451,3278,2418,852,36,0 to 105,48,12867,11206,288,23940,421,0,1614,17092,356,7155,229,10487,13674,3,197,23740,9933,412,126,16,5239,4986,120,10345,284,539,1762,1713,1757,1661,1288,749,494,238,2,0 to 104,40,5090,633,1069,3553,4180,2542,3623,1176,23,733,13,6,143,10487,5048,5281,10345,142,0,52616,289,63465,52905,10487,143,6070,5090,{B407DCD0-FA26-4BA4-BFDB-B31C63C940BA},40,5.510854340882748,0.4690246460042334
48,48,13,025,DADE,Dade,FL,269971,3658,6776,27119,46143,43955,48767,42679,26839,14980,8141,914,0 to 225,46,139763,128369,1839,268092,1878,1,12124,226177,2785,32166,1181,135130,134448,95,298,267701,132583,1624,913,10,67965,65400,842,134207,1989,4485,17116,25245,22619,24304,18982,10661,6030,3368,331,0 to 108,43,49305,11853,13314,59735,56153,16111,61943,12520,70,6373,38,16,1909,135130,65847,68374,134206,923,1,558171,987,696031,559158,135130,1909,12381,11643,{AEA3AE00-E34E-48C0-8B01-466A26B4B1E0},43,5.083999884705762,0.45963940749256754
